    Energy    <xanes>    
  11364.00  1.4709004E-02
  11364.20  1.4723554E-02
  11364.29  1.4731202E-02
  11364.31  1.4733664E-02
  11364.32  1.4734484E-02
  11364.36  1.4738133E-02
  11364.42  1.4743612E-02
  11364.92  1.4789378E-02
  11365.42  1.4835388E-02
  11365.92  1.4881644E-02
  11366.42  1.4928148E-02
  11366.92  1.4974902E-02
  11367.42  1.5021907E-02
  11367.92  1.5069166E-02
  11368.42  1.5116681E-02
  11368.92  1.5164454E-02
  11369.42  1.5212487E-02
  11369.92  1.5260781E-02
  11370.42  1.5309340E-02
  11370.92  1.5358164E-02
  11371.42  1.5407257E-02
  11371.92  1.5456620E-02
  11372.42  1.5506256E-02
  11372.92  1.5556166E-02
  11373.42  1.5606353E-02
  11373.92  1.5656820E-02
  11374.42  1.5707568E-02
  11374.92  1.5758599E-02
  11375.42  1.5809917E-02
  11375.92  1.5861523E-02
  11376.42  1.5913421E-02
  11376.92  1.5965611E-02
  11377.42  1.6018097E-02
  11377.92  1.6070881E-02
  11378.42  1.6123965E-02
  11378.92  1.6177353E-02
  11379.42  1.6231046E-02
  11379.92  1.6285048E-02
  11380.42  1.6339360E-02
  11380.92  1.6393985E-02
  11381.42  1.6448927E-02
  11381.92  1.6504187E-02
  11382.42  1.6559769E-02
  11382.92  1.6615675E-02
  11383.42  1.6671907E-02
  11383.92  1.6728470E-02
  11384.42  1.6785365E-02
  11384.92  1.6842595E-02
  11385.42  1.6900164E-02
  11385.92  1.6958074E-02
  11386.42  1.7016328E-02
  11386.92  1.7074929E-02
  11387.42  1.7133881E-02
  11387.92  1.7193186E-02
  11388.42  1.7252847E-02
  11388.92  1.7312868E-02
  11389.42  1.7373251E-02
  11389.92  1.7434001E-02
  11390.42  1.7495119E-02
  11390.92  1.7556610E-02
  11391.42  1.7618477E-02
  11391.92  1.7680724E-02
  11392.42  1.7743352E-02
  11392.92  1.7806367E-02
  11393.42  1.7869771E-02
  11393.92  1.7933569E-02
  11394.42  1.7997763E-02
  11394.92  1.8062357E-02
  11395.42  1.8127355E-02
  11395.92  1.8192761E-02
  11396.42  1.8258578E-02
  11396.92  1.8324811E-02
  11397.42  1.8391462E-02
