    Energy    <xanes>    
  11364.00  6.9225077E-03
  11364.01  6.9225508E-03
  11364.03  6.9226615E-03
  11364.05  6.9228275E-03
  11364.05  6.9228613E-03
  11364.06  6.9229413E-03
  11364.07  6.9230108E-03
  11364.07  6.9230897E-03
  11364.08  6.9231191E-03
  11364.11  6.9236459E-03
  11364.14  6.9242281E-03
  11364.14  6.9242475E-03
  11364.15  6.9243315E-03
  11364.15  6.9243751E-03
  11364.15  6.9244716E-03
  11364.16  6.9245213E-03
  11364.17  6.9249188E-03
  11364.17  6.9249749E-03
  11364.19  6.9255803E-03
  11364.19  6.9256099E-03
  11364.20  6.9257034E-03
  11364.20  6.9257688E-03
  11364.20  6.9258374E-03
  11364.20  6.9259091E-03
  11364.23  6.9267325E-03
  11364.23  6.9268089E-03
  11364.24  6.9270873E-03
  11364.24  6.9275005E-03
  11364.26  6.9281438E-03
  11364.27  6.9284011E-03
  11364.28  6.9288301E-03
  11364.78  6.9503100E-03
  11365.28  6.9719043E-03
  11365.62  6.9867384E-03
  11366.12  7.0085271E-03
  11366.62  7.0304325E-03
  11367.12  7.0524554E-03
  11367.62  7.0745969E-03
  11368.12  7.0968578E-03
  11368.62  7.1192391E-03
  11369.12  7.1417417E-03
  11369.62  7.1643666E-03
  11370.12  7.1871148E-03
  11370.62  7.2099872E-03
  11371.12  7.2329848E-03
  11371.62  7.2561087E-03
  11372.12  7.2793599E-03
  11372.62  7.3027393E-03
  11373.12  7.3262480E-03
  11373.62  7.3498871E-03
  11374.12  7.3736576E-03
  11374.62  7.3975606E-03
  11375.12  7.4215971E-03
  11375.62  7.4457683E-03
  11376.12  7.4700752E-03
  11376.62  7.4945190E-03
  11377.12  7.5191008E-03
  11377.62  7.5438217E-03
  11378.12  7.5686829E-03
  11378.62  7.5936856E-03
  11379.12  7.6188308E-03
  11379.62  7.6441199E-03
  11380.12  7.6695540E-03
  11380.62  7.6951344E-03
  11381.12  7.7208622E-03
  11381.62  7.7467387E-03
  11382.12  7.7727652E-03
  11382.62  7.7989429E-03
  11383.12  7.8252732E-03
  11383.62  7.8517573E-03
  11384.12  7.8783965E-03
  11384.62  7.9051923E-03
