    Energy    <xanes>    
  11364.00  6.9071131E-03
  11364.00  6.9071325E-03
  11364.02  6.9075561E-03
  11364.04  6.9080334E-03
  11364.05  6.9081008E-03
  11364.05  6.9081729E-03
  11364.08  6.9088630E-03
  11364.14  6.9105488E-03
  11364.18  6.9116347E-03
  11364.18  6.9116649E-03
  11364.19  6.9118556E-03
  11364.20  6.9122891E-03
  11364.20  6.9123232E-03
  11364.20  6.9124303E-03
  11364.23  6.9135845E-03
  11364.24  6.9138886E-03
  11364.25  6.9140073E-03
  11364.25  6.9142130E-03
  11364.27  6.9149389E-03
  11364.27  6.9151097E-03
  11364.28  6.9156222E-03
  11364.29  6.9158358E-03
  11364.31  6.9169039E-03
  11364.32  6.9169894E-03
  11364.32  6.9170321E-03
  11364.32  6.9170749E-03
  11364.33  6.9177591E-03
  11364.35  6.9184006E-03
  11364.36  6.9190850E-03
  11364.40  6.9207108E-03
  11364.45  6.9226792E-03
  11364.82  6.9384075E-03
  11365.32  6.9599394E-03
  11365.65  6.9742584E-03
  11366.15  6.9959813E-03
  11366.65  7.0178205E-03
  11367.15  7.0397767E-03
  11367.65  7.0618508E-03
  11368.15  7.0840439E-03
  11368.65  7.1063567E-03
  11369.15  7.1287904E-03
  11369.65  7.1513458E-03
  11370.15  7.1740239E-03
  11370.65  7.1968256E-03
  11371.15  7.2197520E-03
  11371.65  7.2428041E-03
  11372.15  7.2659828E-03
  11372.65  7.2892892E-03
  11373.15  7.3127243E-03
  11373.65  7.3362891E-03
  11374.15  7.3599847E-03
  11374.65  7.3838122E-03
  11375.15  7.4077726E-03
  11375.65  7.4318670E-03
  11376.15  7.4560965E-03
  11376.65  7.4804622E-03
  11377.15  7.5049652E-03
  11377.65  7.5296067E-03
  11378.15  7.5543878E-03
  11378.65  7.5793097E-03
  11379.15  7.6043735E-03
  11379.65  7.6295804E-03
  11380.15  7.6549316E-03
  11380.65  7.6804283E-03
  11381.15  7.7060718E-03
  11381.65  7.7318633E-03
  11382.15  7.7578040E-03
  11382.65  7.7838951E-03
  11383.15  7.8101381E-03
  11383.65  7.8365341E-03
  11384.15  7.8630845E-03
  11384.65  7.8897905E-03
  11385.15  7.9166536E-03
  11385.65  7.9436751E-03
  11386.15  7.9708563E-03
  11386.65  7.9981987E-03
  11387.15  8.0257035E-03
  11387.65  8.0533724E-03
  11388.15  8.0812066E-03
  11388.65  8.1092076E-03
  11389.15  8.1373769E-03
  11389.65  8.1657160E-03
  11390.15  8.1942264E-03
  11390.65  8.2229095E-03
  11391.15  8.2517670E-03
  11391.65  8.2808004E-03
  11392.15  8.3100112E-03
  11392.65  8.3394011E-03
  11393.15  8.3689716E-03
  11393.65  8.3987244E-03
  11394.15  8.4286611E-03
  11394.65  8.4587834E-03
  11395.15  8.4890930E-03
  11395.65  8.5195916E-03
  11396.15  8.5502809E-03
  11396.65  8.5811627E-03
  11397.15  8.6122387E-03
  11397.65  8.6435108E-03
  11398.15  8.6749807E-03
  11398.65  8.7066503E-03
  11399.15  8.7385215E-03
  11399.65  8.7705961E-03
  11400.15  8.8028760E-03
  11400.65  8.8353633E-03
  11401.15  8.8680597E-03
  11401.65  8.9009674E-03
  11402.15  8.9340882E-03
  11402.65  8.9674243E-03
  11403.15  9.0009777E-03
  11403.65  9.0347505E-03
  11404.15  9.0687448E-03
  11404.65  9.1029627E-03
  11405.15  9.1374064E-03
  11405.65  9.1720780E-03
  11406.15  9.2069799E-03
  11406.65  9.2421142E-03
  11407.15  9.2774832E-03
  11407.65  9.3130892E-03
  11408.15  9.3489346E-03
  11408.65  9.3850217E-03
  11409.15  9.4213530E-03
  11409.65  9.4579308E-03
  11410.15  9.4947576E-03
  11410.65  9.5318359E-03
  11411.15  9.5691683E-03
  11411.65  9.6067572E-03
  11412.15  9.6446054E-03
  11412.65  9.6827154E-03
  11413.15  9.7210899E-03
  11413.65  9.7597315E-03
  11414.15  9.7986432E-03
  11414.65  9.8378275E-03
  11415.15  9.8772874E-03
  11415.65  9.9170256E-03
  11416.15  9.9570451E-03
  11416.65  9.9973489E-03
  11417.15  1.0037940E-02
  11417.65  1.0078821E-02
  11418.15  1.0119995E-02
  11418.65  1.0161466E-02
  11419.15  1.0203236E-02
  11419.65  1.0245309E-02
  11420.15  1.0287688E-02
  11420.65  1.0330376E-02
  11421.15  1.0373377E-02
  11421.65  1.0416693E-02
  11422.15  1.0460329E-02
  11422.65  1.0504288E-02
  11423.15  1.0548573E-02
  11423.65  1.0593187E-02
  11424.15  1.0638136E-02
  11424.65  1.0683421E-02
  11425.15  1.0729048E-02
  11425.65  1.0775019E-02
  11426.15  1.0821339E-02
  11426.65  1.0868011E-02
  11427.15  1.0915040E-02
  11427.65  1.0962429E-02
  11428.15  1.1010183E-02
  11428.65  1.1058305E-02
  11429.15  1.1106800E-02
  11429.65  1.1155673E-02
  11430.15  1.1204927E-02
  11430.65  1.1254566E-02
  11431.15  1.1304596E-02
  11431.65  1.1355021E-02
  11432.15  1.1405846E-02
  11432.65  1.1457074E-02
  11433.15  1.1508712E-02
  11433.65  1.1560763E-02
  11434.15  1.1613233E-02
  11434.65  1.1666126E-02
  11435.15  1.1719449E-02
  11435.65  1.1773205E-02
  11436.15  1.1827400E-02
  11436.65  1.1882039E-02
  11437.15  1.1937128E-02
  11437.65  1.1992672E-02
  11438.15  1.2048677E-02
  11438.65  1.2105149E-02
  11439.15  1.2162092E-02
  11439.65  1.2219514E-02
  11440.15  1.2277420E-02
  11440.65  1.2335815E-02
  11441.15  1.2394707E-02
  11441.65  1.2454101E-02
  11442.15  1.2514004E-02
  11442.65  1.2574422E-02
  11443.15  1.2635362E-02
  11443.65  1.2696830E-02
  11444.15  1.2758834E-02
  11444.65  1.2821379E-02
  11445.15  1.2884474E-02
  11445.65  1.2948125E-02
  11446.15  1.3012339E-02
  11446.65  1.3077125E-02
  11447.15  1.3142489E-02
  11447.65  1.3208439E-02
  11448.15  1.3274983E-02
  11448.65  1.3342128E-02
  11449.15  1.3409884E-02
  11449.65  1.3478258E-02
  11450.15  1.3547258E-02
  11450.65  1.3616894E-02
  11451.15  1.3687173E-02
  11451.65  1.3758104E-02
  11452.15  1.3829698E-02
  11452.65  1.3901961E-02
  11453.15  1.3974905E-02
  11453.65  1.4048538E-02
  11454.15  1.4122871E-02
  11454.65  1.4197912E-02
  11455.15  1.4273673E-02
  11455.65  1.4350163E-02
  11456.15  1.4427393E-02
  11456.65  1.4505373E-02
  11457.15  1.4584114E-02
  11457.65  1.4663627E-02
  11458.15  1.4743924E-02
  11458.65  1.4825016E-02
  11459.15  1.4906915E-02
  11459.65  1.4989632E-02
  11460.15  1.5073180E-02
  11460.65  1.5157571E-02
  11461.15  1.5242817E-02
  11461.65  1.5328933E-02
  11462.15  1.5415930E-02
  11462.65  1.5503823E-02
  11463.15  1.5592625E-02
  11463.65  1.5682350E-02
  11464.15  1.5773012E-02
  11464.65  1.5864625E-02
  11465.15  1.5957206E-02
  11465.65  1.6050769E-02
  11466.15  1.6145328E-02
  11466.65  1.6240902E-02
  11467.15  1.6337504E-02
  11467.65  1.6435152E-02
  11468.15  1.6533864E-02
  11468.65  1.6633655E-02
  11469.15  1.6734544E-02
  11469.65  1.6836548E-02
  11470.15  1.6939686E-02
  11470.65  1.7043977E-02
  11471.15  1.7149440E-02
  11471.65  1.7256095E-02
  11472.15  1.7363961E-02
  11472.65  1.7473059E-02
  11473.15  1.7583411E-02
  11473.65  1.7695037E-02
  11474.15  1.7807959E-02
  11474.65  1.7922201E-02
  11475.15  1.8037784E-02
  11475.65  1.8154733E-02
  11476.15  1.8273072E-02
  11476.65  1.8392825E-02
  11477.15  1.8514017E-02
  11477.65  1.8636675E-02
  11478.15  1.8760824E-02
  11478.65  1.8886492E-02
  11479.15  1.9013706E-02
  11479.65  1.9142495E-02
  11480.15  1.9272888E-02
  11480.65  1.9404916E-02
  11481.15  1.9538607E-02
  11481.65  1.9673994E-02
  11482.15  1.9811109E-02
  11482.65  1.9949985E-02
  11483.15  2.0090656E-02
  11483.65  2.0233156E-02
  11484.15  2.0377521E-02
  11484.65  2.0523787E-02
  11485.15  2.0671992E-02
  11485.65  2.0822173E-02
  11486.15  2.0974372E-02
  11486.65  2.1128628E-02
  11487.15  2.1284982E-02
  11487.65  2.1443477E-02
  11488.15  2.1604158E-02
  11488.65  2.1767069E-02
  11489.15  2.1932257E-02
  11489.65  2.2099769E-02
