    Energy      s          Int(s)         px           py           pz           p          Int(p)       dx2-y2        dz2          dyz          dxz          dxy           d          Int(d)        fxyz         fx3          fy3          fz3       fx(y2-z2)    fy(z2-x2)    fz(x2-y2)        f          Int(f)       total      Int(total) 
 -150.0000  6.05986E-13  2.22696E-14  2.32668E-13  2.14003E-13  2.23342E-13  6.70013E-13  2.46225E-14  4.74822E-14  2.94483E-14  1.01846E-13  5.91645E-14  6.24787E-14  3.00420E-13  1.10402E-14  6.02188E-14  8.37451E-14  5.13095E-14  7.94040E-14  8.38243E-14  3.94747E-14  8.57050E-14  4.83681E-13  1.77750E-14  2.06010E-12  7.57073E-14
 -149.5000  6.00806E-13  4.43488E-14  2.30915E-13  2.12253E-13  2.21587E-13  6.64755E-13  4.90518E-14  4.70744E-14  2.91724E-14  1.01303E-13  5.86323E-14  6.20639E-14  2.98246E-13  2.20006E-14  5.96588E-14  8.30477E-14  5.07315E-14  7.86411E-14  8.31707E-14  3.88964E-14  8.51487E-14  4.79295E-13  3.53887E-14  2.04310E-12  1.50790E-13
 -149.0000  5.95597E-13  6.62366E-14  2.29160E-13  2.10507E-13  2.19842E-13  6.59509E-13  7.32883E-14  4.66979E-14  2.88937E-14  1.00758E-13  5.81117E-14  6.16420E-14  2.96103E-13  3.28822E-14  5.90984E-14  8.23554E-14  5.01497E-14  7.78814E-14  8.25167E-14  3.83226E-14  8.45893E-14  4.74913E-13  5.28415E-14  2.02612E-12  2.25249E-13
 -148.5000  5.90346E-13  8.79314E-14  2.27410E-13  2.08763E-13  2.18095E-13  6.54267E-13  9.73322E-14  4.63072E-14  2.86317E-14  1.00228E-13  5.75742E-14  6.12278E-14  2.93969E-13  4.36853E-14  5.85409E-14  8.16609E-14  4.95820E-14  7.71232E-14  8.18647E-14  3.77494E-14  8.40316E-14  4.70553E-13  7.01340E-14  2.00914E-12  2.99083E-13
 -148.0000  5.85197E-13  1.09437E-13  2.25663E-13  2.07025E-13  2.16350E-13  6.49039E-13  1.21184E-13  4.59152E-14  2.83479E-14  9.96922E-14  5.70534E-14  6.08076E-14  2.91816E-13  5.44094E-14  5.79826E-14  8.09732E-14  4.90094E-14  7.63665E-14  8.12158E-14  3.71762E-14  8.34752E-14  4.66199E-13  8.72664E-14  1.99225E-12  3.72297E-13
 -147.5000  5.80016E-13  1.30752E-13  2.23917E-13  2.05286E-13  2.14609E-13  6.43812E-13  1.44844E-13  4.55169E-14  2.80649E-14  9.91458E-14  5.65267E-14  6.03895E-14  2.89644E-13  6.50536E-14  5.74260E-14  8.02831E-14  4.84428E-14  7.56109E-14  8.05679E-14  3.66104E-14  8.29214E-14  4.61863E-13  1.04240E-13  1.97533E-12  4.44889E-13
 -147.0000  5.74915E-13  1.51880E-13  2.22178E-13  2.03550E-13  2.12871E-13  6.38599E-13  1.68312E-13  4.51240E-14  2.78060E-14  9.86149E-14  5.60038E-14  5.99794E-14  2.87528E-13  7.56201E-14  5.68706E-14  7.95967E-14  4.78801E-14  7.48594E-14  7.99216E-14  3.60501E-14  8.23646E-14  4.57543E-13  1.21054E-13  1.95859E-12  5.16866E-13
 -146.5000  5.69794E-13  1.72819E-13  2.20447E-13  2.01827E-13  2.11141E-13  6.33415E-13  1.91589E-13  4.47368E-14  2.75265E-14  9.80719E-14  5.54886E-14  5.95665E-14  2.85390E-13  8.61080E-14  5.63159E-14  7.89147E-14  4.73233E-14  7.41092E-14  7.92809E-14  3.54902E-14  8.18107E-14  4.53245E-13  1.37710E-13  1.94184E-12  5.88227E-13
 -146.0000  5.64666E-13  1.93571E-13  2.18710E-13  2.00099E-13  2.09411E-13  6.28220E-13  2.14676E-13  4.43364E-14  2.72452E-14  9.75174E-14  5.49527E-14  5.91393E-14  2.83191E-13  9.65151E-14  5.57635E-14  7.82340E-14  4.67670E-14  7.33609E-14  7.86443E-14  3.49363E-14  8.12569E-14  4.48963E-13  1.54210E-13  1.92504E-12  6.58971E-13
 -145.5000  5.59582E-13  2.14135E-13  2.16985E-13  1.98377E-13  2.07686E-13  6.23048E-13  2.37573E-13  4.39549E-14  2.69681E-14  9.69817E-14  5.44287E-14  5.87202E-14  2.81054E-13  1.06844E-13  5.52110E-14  7.75569E-14  4.62203E-14  7.26158E-14  7.80082E-14  3.43839E-14  8.07057E-14  4.44702E-13  1.70552E-13  1.90838E-12  7.29103E-13
 -145.0000  5.54510E-13  2.34513E-13  2.15254E-13  1.96659E-13  2.05964E-13  6.17877E-13  2.60279E-13  4.35600E-14  2.67004E-14  9.64437E-14  5.38898E-14  5.83062E-14  2.78900E-13  1.17093E-13  5.46603E-14  7.68806E-14  4.56741E-14  7.18724E-14  7.73765E-14  3.38412E-14  8.01535E-14  4.40459E-13  1.86739E-13  1.89175E-12  7.98623E-13
