 11564.000   78  2  3  2.3455774E-02 -9.8236436E+00  0.0000000E+00  1  1  1.1435663E+04  1.5327454E+01  0.0000000E+00  4.7160101E-01  1.0000000E+00  0.0000000E+00  = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninit, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_iso
    Energy    <xanes>    
  11414.00  2.5510201E-27
  11414.50  0.0000000E+00
  11415.00  0.0000000E+00
  11415.50  0.0000000E+00
  11416.00  0.0000000E+00
  11416.50  0.0000000E+00
  11417.00  0.0000000E+00
  11417.50  0.0000000E+00
  11418.00  0.0000000E+00
  11418.50  0.0000000E+00
  11419.00  0.0000000E+00
  11419.50  0.0000000E+00
  11420.00  0.0000000E+00
  11420.50  0.0000000E+00
  11421.00  0.0000000E+00
  11421.50  0.0000000E+00
  11422.00  0.0000000E+00
  11422.50  0.0000000E+00
  11423.00  0.0000000E+00
  11423.50  0.0000000E+00
  11424.00  0.0000000E+00
  11424.50  0.0000000E+00
  11425.00  0.0000000E+00
  11425.50  0.0000000E+00
  11426.00  0.0000000E+00
  11426.50  0.0000000E+00
  11427.00  0.0000000E+00
  11427.50  0.0000000E+00
  11428.00  0.0000000E+00
  11428.50  0.0000000E+00
  11429.00  0.0000000E+00
  11429.50  0.0000000E+00
  11430.00  2.8997153E-27
  11430.50  0.0000000E+00
  11431.00  0.0000000E+00
  11431.50  0.0000000E+00
  11432.00  0.0000000E+00
  11432.50  0.0000000E+00
  11433.00  0.0000000E+00
  11433.50  0.0000000E+00
  11434.00  0.0000000E+00
  11434.50  0.0000000E+00
  11435.00  0.0000000E+00
  11435.50  0.0000000E+00
  11436.00  0.0000000E+00
  11436.50  0.0000000E+00
  11437.00  0.0000000E+00
  11437.50  0.0000000E+00
  11438.00  0.0000000E+00
  11438.50  0.0000000E+00
  11439.00  0.0000000E+00
  11439.50  0.0000000E+00
  11440.00  0.0000000E+00
  11440.50  0.0000000E+00
  11441.00  0.0000000E+00
  11441.50  0.0000000E+00
  11442.00  0.0000000E+00
  11442.50  0.0000000E+00
  11443.00  0.0000000E+00
  11443.50  0.0000000E+00
  11444.00  0.0000000E+00
  11444.50  0.0000000E+00
  11445.00  0.0000000E+00
  11445.50  0.0000000E+00
  11446.00  3.3440715E-27
  11446.50  0.0000000E+00
  11447.00  0.0000000E+00
  11447.50  0.0000000E+00
  11448.00  0.0000000E+00
  11448.50  0.0000000E+00
  11449.00  0.0000000E+00
  11449.50  0.0000000E+00
  11450.00  0.0000000E+00
  11450.50  0.0000000E+00
  11451.00  0.0000000E+00
  11451.50  0.0000000E+00
  11452.00  0.0000000E+00
  11452.50  0.0000000E+00
  11453.00  0.0000000E+00
  11453.50  0.0000000E+00
  11454.00  0.0000000E+00
  11454.50  0.0000000E+00
  11455.00  0.0000000E+00
  11455.50  0.0000000E+00
  11456.00  0.0000000E+00
  11456.50  0.0000000E+00
  11457.00  0.0000000E+00
  11457.50  0.0000000E+00
  11458.00  0.0000000E+00
  11458.50  0.0000000E+00
  11459.00  0.0000000E+00
  11459.50  0.0000000E+00
  11460.00  0.0000000E+00
  11460.50  0.0000000E+00
  11461.00  0.0000000E+00
  11461.50  0.0000000E+00
  11462.00  3.9306260E-27
  11462.50  0.0000000E+00
  11463.00  0.0000000E+00
  11463.50  0.0000000E+00
  11464.00  0.0000000E+00
  11464.50  0.0000000E+00
  11465.00  0.0000000E+00
  11465.50  0.0000000E+00
  11466.00  0.0000000E+00
  11466.50  0.0000000E+00
  11467.00  0.0000000E+00
  11467.50  0.0000000E+00
  11468.00  0.0000000E+00
  11468.50  0.0000000E+00
  11469.00  0.0000000E+00
  11469.50  0.0000000E+00
  11470.00  0.0000000E+00
  11470.50  0.0000000E+00
  11471.00  0.0000000E+00
  11471.50  0.0000000E+00
  11472.00  0.0000000E+00
  11472.50  0.0000000E+00
  11473.00  0.0000000E+00
  11473.50  0.0000000E+00
  11474.00  0.0000000E+00
  11474.50  0.0000000E+00
  11475.00  0.0000000E+00
  11475.50  0.0000000E+00
  11476.00  0.0000000E+00
  11476.50  0.0000000E+00
  11477.00  0.0000000E+00
  11477.50  0.0000000E+00
  11478.00  4.7288411E-27
  11478.50  0.0000000E+00
  11479.00  0.0000000E+00
  11479.50  0.0000000E+00
  11480.00  0.0000000E+00
  11480.50  0.0000000E+00
  11481.00  0.0000000E+00
  11481.50  0.0000000E+00
  11482.00  0.0000000E+00
  11482.50  0.0000000E+00
  11483.00  0.0000000E+00
  11483.50  0.0000000E+00
  11484.00  0.0000000E+00
  11484.50  0.0000000E+00
  11485.00  0.0000000E+00
  11485.50  0.0000000E+00
  11486.00  0.0000000E+00
  11486.50  0.0000000E+00
  11487.00  0.0000000E+00
  11487.50  0.0000000E+00
  11488.00  0.0000000E+00
  11488.50  0.0000000E+00
  11489.00  0.0000000E+00
  11489.50  0.0000000E+00
  11490.00  0.0000000E+00
  11490.50  0.0000000E+00
  11491.00  0.0000000E+00
  11491.50  0.0000000E+00
  11492.00  0.0000000E+00
  11492.50  0.0000000E+00
  11493.00  0.0000000E+00
  11493.50  0.0000000E+00
  11494.00  5.8785007E-27
  11494.50  0.0000000E+00
  11495.00  0.0000000E+00
  11495.50  0.0000000E+00
  11496.00  0.0000000E+00
  11496.50  0.0000000E+00
  11497.00  0.0000000E+00
  11497.50  0.0000000E+00
  11498.00  0.0000000E+00
  11498.50  0.0000000E+00
  11499.00  0.0000000E+00
  11499.50  0.0000000E+00
  11500.00  0.0000000E+00
  11500.50  0.0000000E+00
  11501.00  0.0000000E+00
  11501.50  0.0000000E+00
  11502.00  0.0000000E+00
  11502.50  0.0000000E+00
  11503.00  0.0000000E+00
  11503.50  0.0000000E+00
  11504.00  0.0000000E+00
  11504.50  0.0000000E+00
  11505.00  0.0000000E+00
  11505.50  0.0000000E+00
  11506.00  0.0000000E+00
  11506.50  0.0000000E+00
  11507.00  0.0000000E+00
  11507.50  0.0000000E+00
  11508.00  0.0000000E+00
  11508.50  0.0000000E+00
  11509.00  0.0000000E+00
  11509.50  0.0000000E+00
  11510.00  7.7022510E-27
  11510.50  0.0000000E+00
  11511.00  0.0000000E+00
  11511.50  0.0000000E+00
  11512.00  0.0000000E+00
  11512.50  0.0000000E+00
  11513.00  0.0000000E+00
  11513.50  0.0000000E+00
  11514.00  0.0000000E+00
  11514.50  0.0000000E+00
  11515.00  0.0000000E+00
  11515.50  0.0000000E+00
  11516.00  0.0000000E+00
  11516.50  0.0000000E+00
  11517.00  0.0000000E+00
  11517.50  0.0000000E+00
  11518.00  0.0000000E+00
  11518.50  0.0000000E+00
  11519.00  0.0000000E+00
  11519.50  0.0000000E+00
  11520.00  0.0000000E+00
  11520.50  0.0000000E+00
  11521.00  0.0000000E+00
  11521.50  0.0000000E+00
  11522.00  0.0000000E+00
  11522.50  0.0000000E+00
  11523.00  0.0000000E+00
  11523.50  0.0000000E+00
  11524.00  0.0000000E+00
  11524.50  0.0000000E+00
  11525.00  0.0000000E+00
  11525.50  0.0000000E+00
