 11564.000   78  2  3  2.3455774E-02 -9.8236436E+00  0.0000000E+00  1  1  1.1435663E+04  1.5327454E+01  0.0000000E+00  4.7160101E-01  1.0000000E+00  0.0000000E+00  = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninit, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_iso
    Energy    <xanes>    
  11414.00  3.2856833E-18
  11414.50  3.3821848E-18
  11415.00  3.4821111E-18
  11415.50  3.5855065E-18
  11416.00  3.6932741E-18
  11416.50  3.8048658E-18
  11417.00  3.9212354E-18
  11417.50  4.0418791E-18
  11418.00  4.1670332E-18
  11418.50  4.2974261E-18
  11419.00  4.4329748E-18
  11419.50  4.5743261E-18
  11420.00  4.7209037E-18
  11420.50  4.8731913E-18
  11421.00  5.0324998E-18
  11421.50  5.1980086E-18
  11422.00  5.3710501E-18
  11422.50  5.5508805E-18
  11423.00  5.7391090E-18
  11423.50  5.9355732E-18
  11424.00  6.1403130E-18
  11424.50  6.3546319E-18
  11425.00  6.5792907E-18
  11425.50  6.8141005E-18
  11426.00  7.0593029E-18
  11426.50  7.3171065E-18
  11427.00  7.5860794E-18
  11427.50  7.8670484E-18
  11428.00  8.1630675E-18
  11428.50  8.4716122E-18
  11429.00  8.7980183E-18
  11429.50  9.1406748E-18
  11430.00  9.5017047E-18
  11430.50  9.8808842E-18
  11431.00  1.0279117E-17
  11431.50  1.0701686E-17
  11432.00  1.1146293E-17
  11432.50  1.1614816E-17
  11433.00  1.2109684E-17
  11433.50  1.2632546E-17
  11434.00  1.3185020E-17
  11434.50  1.3771314E-17
  11435.00  1.4391970E-17
  11435.50  1.5051078E-17
  11436.00  1.5751922E-17
  11436.50  1.6495634E-17
  11437.00  1.7287386E-17
  11437.50  1.8136237E-17
  11438.00  1.9036141E-17
  11438.50  2.0003037E-17
  11439.00  2.1034909E-17
  11439.50  2.2139909E-17
  11440.00  2.3324135E-17
  11440.50  2.4590512E-17
  11441.00  2.5952150E-17
  11441.50  2.7428037E-17
  11442.00  2.9017773E-17
  11442.50  3.0738141E-17
  11443.00  3.2601396E-17
  11443.50  3.4624796E-17
  11444.00  3.6830297E-17
  11444.50  3.9227301E-17
  11445.00  4.1852906E-17
  11445.50  4.4731000E-17
  11446.00  4.7887206E-17
  11446.50  5.1344796E-17
  11447.00  5.5175439E-17
  11447.50  5.9425993E-17
  11448.00  6.4152487E-17
  11448.50  6.9424867E-17
  11449.00  7.5334599E-17
  11449.50  8.1973638E-17
  11450.00  8.9489561E-17
  11450.50  9.8034415E-17
  11451.00  1.0777406E-16
  11451.50  1.1896171E-16
  11452.00  1.3187791E-16
  11452.50  1.4687360E-16
  11453.00  1.6448236E-16
  11453.50  1.8529537E-16
  11454.00  2.1015128E-16
  11454.50  2.4017453E-16
  11455.00  2.7693146E-16
  11455.50  3.2247121E-16
  11456.00  3.7972122E-16
  11456.50  4.5331249E-16
  11457.00  5.4987126E-16
  11457.50  6.7934350E-16
  11458.00  8.5935697E-16
  11458.50  1.1198301E-15
  11459.00  1.5166000E-15
  11459.50  2.1636169E-15
  11460.00  3.3236553E-15
  11460.50  5.7172320E-15
  11461.00  1.1937426E-14
  11461.50  3.7100475E-14
  11462.00  1.1130638E-15
  11462.50  8.2563018E-14
  11463.00  1.7844905E-14
  11463.50  7.6492240E-15
  11464.00  4.2179760E-15
  11464.50  2.6681443E-15
  11465.00  1.8406875E-15
  11465.50  1.3468988E-15
  11466.00  1.0287310E-15
  11466.50  8.1237298E-16
  11467.00  6.5790281E-16
  11467.50  5.4410421E-16
  11468.00  4.5785980E-16
  11468.50  3.9082877E-16
  11469.00  3.3751535E-16
  11469.50  2.9453021E-16
  11470.00  2.5927953E-16
  11470.50  2.3023145E-16
  11471.00  2.0563149E-16
  11471.50  1.8488245E-16
  11472.00  1.6713189E-16
  11472.50  1.5186948E-16
  11473.00  1.3861876E-16
  11473.50  1.2706018E-16
  11474.00  1.1683523E-16
  11474.50  1.0782447E-16
  11475.00  9.9796883E-17
  11475.50  9.2689160E-17
  11476.00  8.6196677E-17
  11476.50  8.0327670E-17
  11477.00  7.5174243E-17
  11477.50  7.0399320E-17
  11478.00  6.6041356E-17
  11478.50  6.2098415E-17
  11479.00  5.8446668E-17
  11479.50  5.5088847E-17
  11480.00  5.2022535E-17
  11480.50  4.9151353E-17
  11481.00  4.6551350E-17
  11481.50  4.4061992E-17
  11482.00  4.1800946E-17
  11482.50  3.9694241E-17
  11483.00  3.7660246E-17
  11483.50  3.5793126E-17
  11484.00  3.3994531E-17
  11484.50  3.2375926E-17
  11485.00  3.0796952E-17
  11485.50  2.9341910E-17
  11486.00  2.7937481E-17
  11486.50  2.6601434E-17
  11487.00  2.5368880E-17
  11487.50  2.4176518E-17
  11488.00  2.3034492E-17
  11488.50  2.1922428E-17
  11489.00  2.0877515E-17
  11489.50  1.9909572E-17
  11490.00  1.8964228E-17
  11490.50  1.8095702E-17
  11491.00  1.7273137E-17
  11491.50  1.6545906E-17
  11492.00  1.5999083E-17
  11492.50  1.5846706E-17
  11493.00  1.7026477E-17
  11493.50  2.7310945E-17
  11494.00  2.1296204E-12
  11494.50  3.2318675E-17
  11495.00  1.6266156E-17
  11495.50  1.2741645E-17
  11496.00  1.1008745E-17
  11496.50  9.8264057E-18
  11497.00  8.9229801E-18
  11497.50  8.1114012E-18
  11498.00  7.3772052E-18
  11498.50  6.7190678E-18
  11499.00  6.1137049E-18
  11499.50  5.5499637E-18
  11500.00  5.0955588E-18
  11500.50  4.7639545E-18
  11501.00  4.5525079E-18
  11501.50  4.5712891E-18
  11502.00  4.8907312E-18
  11502.50  5.6767143E-18
  11503.00  7.1769286E-18
  11503.50  9.7916830E-18
  11504.00  1.4203484E-17
  11504.50  2.1381784E-17
  11505.00  3.3227472E-17
  11505.50  5.2590713E-17
  11506.00  8.3671598E-17
  11506.50  1.2917651E-16
  11507.00  1.7412392E-16
  11507.50  1.9538819E-16
  11508.00  3.7948426E-15
  11508.50  2.8191366E-13
  11509.00  9.6527212E-11
  11509.50  8.8782456E-03
  11510.00  8.2864545E-09
  11510.50  1.4126909E-11
  11511.00  6.0364732E-13
  11511.50  7.6999406E-14
  11512.00  1.7233896E-14
  11512.50  5.4333108E-15
  11513.00  2.1580025E-15
  11513.50  1.0137154E-15
  11514.00  5.4088171E-16
  11514.50  3.1959091E-16
  11515.00  2.0548486E-16
  11515.50  1.4192550E-16
  11516.00  1.0426499E-16
  11516.50  8.0844968E-17
  11517.00  6.5643055E-17
  11517.50  5.5566682E-17
  11518.00  4.8685072E-17
  11518.50  4.4021864E-17
  11519.00  4.0848805E-17
  11519.50  3.8837272E-17
  11520.00  3.7635980E-17
  11520.50  3.7306639E-17
  11521.00  3.7561916E-17
  11521.50  3.8358567E-17
  11522.00  3.9757004E-17
  11522.50  4.1792309E-17
  11523.00  4.4510962E-17
  11523.50  4.7949917E-17
  11524.00  5.2217342E-17
  11524.50  5.7474014E-17
  11525.00  6.3993262E-17
  11525.50  7.1837633E-17
  11526.00  8.1360806E-17
  11526.50  9.3094387E-17
  11527.00  1.0728084E-16
  11527.50  1.2460016E-16
  11528.00  1.4573990E-16
  11528.50  1.7179351E-16
  11529.00  2.0408112E-16
  11529.50  2.4402728E-16
  11530.00  2.9369195E-16
  11530.50  3.5593505E-16
  11531.00  4.3418228E-16
  11531.50  5.3316140E-16
  11532.00  6.5906663E-16
  11532.50  8.1999980E-16
  11533.00  1.0273163E-15
  11533.50  1.2959604E-15
  11534.00  1.6460821E-15
  11534.50  2.1061912E-15
  11535.00  2.7145769E-15
  11535.50  3.5254551E-15
  11536.00  4.6146257E-15
  11536.50  6.0896941E-15
  11537.00  8.1032059E-15
  11537.50  1.0877500E-14
  11538.00  1.4735404E-14
  11538.50  2.0148313E-14
  11539.00  2.7824887E-14
  11539.50  3.8827452E-14
  11540.00  5.4756759E-14
  11540.50  7.8108727E-14
  11541.00  1.1276174E-13
  11541.50  1.6478161E-13
  11542.00  2.4405523E-13
  11542.50  3.6647008E-13
  11543.00  5.5849219E-13
  11543.50  8.6476028E-13
  11544.00  1.3608536E-12
  11544.50  2.1812106E-12
  11545.00  3.5623462E-12
  11545.50  5.9426840E-12
  11546.00  1.0134949E-11
