    Energy    <xanes>    
  11414.00  1.8536138E-04
  11414.50  1.8610038E-04
  11415.00  1.8684460E-04
  11415.50  1.8759409E-04
  11416.00  1.8834891E-04
  11416.50  1.8910911E-04
  11417.00  1.8987475E-04
  11417.50  1.9064589E-04
  11418.00  1.9142259E-04
  11418.50  1.9220490E-04
  11419.00  1.9299289E-04
  11419.50  1.9378662E-04
  11420.00  1.9458614E-04
  11420.50  1.9539153E-04
  11421.00  1.9620284E-04
  11421.50  1.9702014E-04
  11422.00  1.9784349E-04
  11422.50  1.9867297E-04
  11423.00  1.9950863E-04
  11423.50  2.0035055E-04
  11424.00  2.0119880E-04
  11424.50  2.0205345E-04
  11425.00  2.0291456E-04
  11425.50  2.0378221E-04
  11426.00  2.0465648E-04
  11426.50  2.0553743E-04
  11427.00  2.0642515E-04
  11427.50  2.0731972E-04
  11428.00  2.0822120E-04
  11428.50  2.0912968E-04
  11429.00  2.1004524E-04
  11429.50  2.1096796E-04
  11430.00  2.1189793E-04
  11430.50  2.1283522E-04
  11431.00  2.1377993E-04
  11431.50  2.1473214E-04
  11432.00  2.1569194E-04
  11432.50  2.1665942E-04
  11433.00  2.1763467E-04
  11433.50  2.1861778E-04
  11434.00  2.1960885E-04
  11434.50  2.2060798E-04
  11435.00  2.2161525E-04
  11435.50  2.2263077E-04
  11436.00  2.2365464E-04
  11436.50  2.2468695E-04
  11437.00  2.2572783E-04
  11437.50  2.2677736E-04
  11438.00  2.2783565E-04
  11438.50  2.2890283E-04
  11439.00  2.2997898E-04
  11439.50  2.3106424E-04
  11440.00  2.3215870E-04
  11440.50  2.3326250E-04
  11441.00  2.3437574E-04
  11441.50  2.3549854E-04
  11442.00  2.3663103E-04
  11442.50  2.3777334E-04
  11443.00  2.3892558E-04
  11443.50  2.4008789E-04
  11444.00  2.4126040E-04
  11444.50  2.4244324E-04
  11445.00  2.4363654E-04
  11445.50  2.4484045E-04
  11446.00  2.4605510E-04
  11446.50  2.4728063E-04
  11447.00  2.4851720E-04
  11447.50  2.4976495E-04
  11448.00  2.5102402E-04
  11448.50  2.5229458E-04
  11449.00  2.5357677E-04
  11449.50  2.5487076E-04
  11450.00  2.5617671E-04
  11450.50  2.5749478E-04
  11451.00  2.5882514E-04
  11451.50  2.6016796E-04
  11452.00  2.6152341E-04
  11452.50  2.6289168E-04
  11453.00  2.6427293E-04
  11453.50  2.6566736E-04
  11454.00  2.6707515E-04
  11454.50  2.6849649E-04
  11455.00  2.6993158E-04
  11455.50  2.7138061E-04
  11456.00  2.7284378E-04
  11456.50  2.7432131E-04
  11457.00  2.7581340E-04
  11457.50  2.7732026E-04
  11458.00  2.7884212E-04
  11458.50  2.8037919E-04
  11459.00  2.8193170E-04
  11459.50  2.8349989E-04
  11460.00  2.8508398E-04
  11460.50  2.8668422E-04
  11461.00  2.8830086E-04
  11461.50  2.8993414E-04
  11462.00  2.9158432E-04
  11462.50  2.9325166E-04
  11463.00  2.9493643E-04
  11463.50  2.9663890E-04
  11464.00  2.9835934E-04
  11464.50  3.0009804E-04
  11465.00  3.0185529E-04
  11465.50  3.0363138E-04
  11466.00  3.0542662E-04
  11466.50  3.0724131E-04
  11467.00  3.0907576E-04
  11467.50  3.1093030E-04
  11468.00  3.1280526E-04
  11468.50  3.1470097E-04
  11469.00  3.1661777E-04
  11469.50  3.1855602E-04
  11470.00  3.2051607E-04
  11470.50  3.2249829E-04
  11471.00  3.2450305E-04
  11471.50  3.2653074E-04
  11472.00  3.2858174E-04
  11472.50  3.3065646E-04
  11473.00  3.3275531E-04
  11473.50  3.3487871E-04
  11474.00  3.3702707E-04
  11474.50  3.3920086E-04
  11475.00  3.4140050E-04
  11475.50  3.4362647E-04
  11476.00  3.4587923E-04
  11476.50  3.4815927E-04
  11477.00  3.5046708E-04
  11477.50  3.5280316E-04
  11478.00  3.5516803E-04
  11478.50  3.5756222E-04
  11479.00  3.5998628E-04
  11479.50  3.6244076E-04
  11480.00  3.6492623E-04
  11480.50  3.6744329E-04
  11481.00  3.6999252E-04
  11481.50  3.7257455E-04
  11482.00  3.7519000E-04
  11482.50  3.7783952E-04
  11483.00  3.8052378E-04
  11483.50  3.8324345E-04
  11484.00  3.8599924E-04
  11484.50  3.8879187E-04
  11485.00  3.9162206E-04
  11485.50  3.9449059E-04
  11486.00  3.9739821E-04
  11486.50  4.0034574E-04
  11487.00  4.0333398E-04
  11487.50  4.0636380E-04
  11488.00  4.0943603E-04
  11488.50  4.1255159E-04
  11489.00  4.1571138E-04
  11489.50  4.1891634E-04
  11490.00  4.2216744E-04
  11490.50  4.2546567E-04
  11491.00  4.2881206E-04
  11491.50  4.3220767E-04
  11492.00  4.3565356E-04
  11492.50  4.3915087E-04
  11493.00  4.4270074E-04
  11493.50  4.4630435E-04
  11494.00  4.4996292E-04
  11494.50  4.5367771E-04
  11495.00  4.5745001E-04
  11495.50  4.6128115E-04
  11496.00  4.6517252E-04
  11496.50  4.6912554E-04
  11497.00  4.7314165E-04
  11497.50  4.7722238E-04
  11498.00  4.8136929E-04
  11498.50  4.8558397E-04
  11499.00  4.8986810E-04
  11499.50  4.9422339E-04
  11500.00  4.9865161E-04
  11500.50  5.0315459E-04
  11501.00  5.0773422E-04
  11501.50  5.1239247E-04
  11502.00  5.1713135E-04
  11502.50  5.2195296E-04
  11503.00  5.2685947E-04
  11503.50  5.3185311E-04
  11504.00  5.3693622E-04
  11504.50  5.4211118E-04
  11505.00  5.4738051E-04
  11505.50  5.5274677E-04
  11506.00  5.5821264E-04
  11506.50  5.6378090E-04
  11507.00  5.6945442E-04
  11507.50  5.7523619E-04
  11508.00  5.8112932E-04
  11508.50  5.8713701E-04
  11509.00  5.9326262E-04
  11509.50  5.9950961E-04
  11510.00  6.0588160E-04
  11510.50  6.1238234E-04
  11511.00  6.1901574E-04
  11511.50  6.2578586E-04
  11512.00  6.3269693E-04
  11512.50  6.3975336E-04
  11513.00  6.4695974E-04
  11513.50  6.5432085E-04
  11514.00  6.6184168E-04
  11514.50  6.6952744E-04
  11515.00  6.7738355E-04
  11515.50  6.8541569E-04
  11516.00  6.9362978E-04
  11516.50  7.0203201E-04
  11517.00  7.1062885E-04
  11517.50  7.1942708E-04
  11518.00  7.2843377E-04
  11518.50  7.3765634E-04
  11519.00  7.4710257E-04
  11519.50  7.5678060E-04
  11520.00  7.6669898E-04
  11520.50  7.7686667E-04
  11521.00  7.8729309E-04
  11521.50  7.9798812E-04
  11522.00  8.0896215E-04
  11522.50  8.2022613E-04
  11523.00  8.3179155E-04
  11523.50  8.4367054E-04
  11524.00  8.5587586E-04
  11524.50  8.6842097E-04
  11525.00  8.8132009E-04
  11525.50  8.9458822E-04
  11526.00  9.0824121E-04
  11526.50  9.2229583E-04
  11527.00  9.3676983E-04
  11527.50  9.5168199E-04
  11528.00  9.6705224E-04
  11528.50  9.8290170E-04
  11529.00  9.9925282E-04
  11529.50  1.0161294E-03
  11530.00  1.0335569E-03
  11530.50  1.0515622E-03
  11531.00  1.0701741E-03
  11531.50  1.0894233E-03
  11532.00  1.1093426E-03
  11532.50  1.1299669E-03
  11533.00  1.1513337E-03
  11533.50  1.1734831E-03
  11534.00  1.1964581E-03
  11534.50  1.2203050E-03
  11535.00  1.2450733E-03
  11535.50  1.2708165E-03
  11536.00  1.2975921E-03
  11536.50  1.3254621E-03
  11537.00  1.3544938E-03
  11537.50  1.3847596E-03
  11538.00  1.4163382E-03
  11538.50  1.4493150E-03
  11539.00  1.4837828E-03
  11539.50  1.5198424E-03
  11540.00  1.5576042E-03
  11540.50  1.5971883E-03
  11541.00  1.6387265E-03
  11541.50  1.6823632E-03
  11542.00  1.7282570E-03
  11542.50  1.7765828E-03
  11543.00  1.8275331E-03
  11543.50  1.8813213E-03
  11544.00  1.9381835E-03
  11544.50  1.9983824E-03
  11545.00  2.0622104E-03
  11545.50  2.1299944E-03
  11546.00  2.2021004E-03
  11546.50  2.2789395E-03
  11547.00  2.3609752E-03
  11547.50  2.4487314E-03
  11548.00  2.5428026E-03
  11548.50  2.6438656E-03
  11549.00  2.7526938E-03
  11549.50  2.8701746E-03
  11550.00  2.9973306E-03
  11550.50  3.1353452E-03
  11551.00  3.2855945E-03
  11551.50  3.4496864E-03
  11552.00  3.6295095E-03
  11552.50  3.8272948E-03
  11553.00  4.0456924E-03
  11553.50  4.2878708E-03
  11554.00  4.5576421E-03
  11554.10  4.6152977E-03
  11554.20  4.6742798E-03
  11554.30  4.7346316E-03
  11554.40  4.7963979E-03
  11554.50  4.8596254E-03
  11554.60  4.9243627E-03
  11554.70  4.9906605E-03
  11554.80  5.0585718E-03
  11554.90  5.1281515E-03
  11555.00  5.1994572E-03
  11555.10  5.2725488E-03
  11555.20  5.3474890E-03
  11555.30  5.4243430E-03
  11555.40  5.5031793E-03
  11555.50  5.5840690E-03
  11555.60  5.6670868E-03
  11555.70  5.7523105E-03
  11555.80  5.8398218E-03
  11555.90  5.9297058E-03
  11556.00  6.0220517E-03
  11556.10  6.1169531E-03
  11556.20  6.2145076E-03
  11556.30  6.3148178E-03
  11556.40  6.4179911E-03
  11556.50  6.5241399E-03
  11556.60  6.6333823E-03
  11556.70  6.7458421E-03
  11556.80  6.8616492E-03
  11556.90  6.9809398E-03
  11557.00  7.1038570E-03
  11557.10  7.2305513E-03
  11557.20  7.3611804E-03
  11557.30  7.4959102E-03
  11557.40  7.6349151E-03
  11557.50  7.7783785E-03
  11557.60  7.9264932E-03
  11557.70  8.0794619E-03
  11557.80  8.2374981E-03
  11557.90  8.4008263E-03
  11558.00  8.5696828E-03
  11558.10  8.7443164E-03
  11558.20  8.9249892E-03
  11558.30  9.1119768E-03
  11558.40  9.3055698E-03
  11558.50  9.5060739E-03
  11558.60  9.7138114E-03
  11558.70  9.9291213E-03
  11558.80  1.0152361E-02
  11558.90  1.0383906E-02
  11559.00  1.0624151E-02
  11559.10  1.0873515E-02
  11559.20  1.1132433E-02
  11559.30  1.1401366E-02
  11559.40  1.1680798E-02
  11559.50  1.1971236E-02
  11559.60  1.2273213E-02
  11559.70  1.2587285E-02
  11559.80  1.2914036E-02
  11559.90  1.3254076E-02
  11560.00  1.3608041E-02
  11560.10  1.3976593E-02
  11560.20  1.4360420E-02
  11560.30  1.4760233E-02
  11560.40  1.5176767E-02
  11560.50  1.5610779E-02
  11560.60  1.6063042E-02
  11560.70  1.6534346E-02
  11560.80  1.7025487E-02
  11560.90  1.7537266E-02
  11561.00  1.8070481E-02
  11561.10  1.8625913E-02
  11561.20  1.9204322E-02
  11561.30  1.9806429E-02
  11561.40  2.0432899E-02
  11561.50  2.1084329E-02
  11561.60  2.1761221E-02
  11561.70  2.2463959E-02
  11561.80  2.3192784E-02
  11561.90  2.3947760E-02
  11562.00  2.4728743E-02
  11562.10  2.5535344E-02
  11562.20  2.6366889E-02
  11562.30  2.7222382E-02
  11562.40  2.8100460E-02
  11562.50  2.8999360E-02
  11562.60  2.9916880E-02
  11562.70  3.0850350E-02
  11562.80  3.1796609E-02
  11562.90  3.2751998E-02
  11563.00  3.3712360E-02
  11563.10  3.4673065E-02
  11563.20  3.5629048E-02
  11563.30  3.6574870E-02
  11563.40  3.7504807E-02
  11563.50  3.8412946E-02
  11563.60  3.9293317E-02
  11563.70  4.0140022E-02
  11563.80  4.0947387E-02
  11563.90  4.1710102E-02
  11564.00  4.2423366E-02
  11564.10  4.3082358E-02
  11564.20  4.3682902E-02
  11564.30  4.4222270E-02
  11564.40  4.4698641E-02
  11564.50  4.5111113E-02
  11564.60  4.5459670E-02
  11564.70  4.5745133E-02
  11564.80  4.5969069E-02
  11564.90  4.6133696E-02
  11565.00  4.6241770E-02
  11565.10  4.6296472E-02
  11565.20  4.6301292E-02
  11565.30  4.6259934E-02
  11565.40  4.6176215E-02
  11565.50  4.6053993E-02
  11565.60  4.5897098E-02
  11565.70  4.5709285E-02
  11565.80  4.5494190E-02
  11565.90  4.5255306E-02
  11566.00  4.4995963E-02
  11566.10  4.4719315E-02
  11566.20  4.4428332E-02
  11566.30  4.4125803E-02
  11566.40  4.3814329E-02
  11566.50  4.3496329E-02
  11566.60  4.3174043E-02
  11566.70  4.2849532E-02
  11566.80  4.2524690E-02
  11566.90  4.2201238E-02
  11567.00  4.1880740E-02
  11567.10  4.1564597E-02
  11567.20  4.1254061E-02
  11567.30  4.0950235E-02
  11567.40  4.0654081E-02
  11567.50  4.0366424E-02
  11567.60  4.0087958E-02
  11567.70  3.9819253E-02
  11567.80  3.9560762E-02
  11567.90  3.9312823E-02
  11568.00  3.9075669E-02
  11568.10  3.8849431E-02
  11568.20  3.8634146E-02
  11568.30  3.8429760E-02
  11568.40  3.8236136E-02
  11568.50  3.8053058E-02
  11568.60  3.7880236E-02
  11568.70  3.7717313E-02
  11568.80  3.7563867E-02
  11568.90  3.7419423E-02
  11569.00  3.7283450E-02
  11569.10  3.7155378E-02
  11569.20  3.7034595E-02
  11569.30  3.6920462E-02
  11569.40  3.6812318E-02
  11569.50  3.6709491E-02
  11569.60  3.6611305E-02
  11569.70  3.6517092E-02
  11569.80  3.6426205E-02
  11569.90  3.6338024E-02
  11570.00  3.6251970E-02
  11570.10  3.6167515E-02
  11570.20  3.6084190E-02
  11570.30  3.6001596E-02
  11570.40  3.5919410E-02
  11570.50  3.5837390E-02
  11570.60  3.5755378E-02
  11570.70  3.5673304E-02
  11570.80  3.5591186E-02
  11570.90  3.5509124E-02
  11571.00  3.5427298E-02
  11571.10  3.5345963E-02
  11571.20  3.5265438E-02
  11571.30  3.5186100E-02
  11571.40  3.5108375E-02
  11571.50  3.5032724E-02
  11571.60  3.4959635E-02
  11571.70  3.4889613E-02
  11571.80  3.4823168E-02
  11571.90  3.4760806E-02
  11572.00  3.4703022E-02
  11572.10  3.4650287E-02
  11572.20  3.4603046E-02
  11572.30  3.4561708E-02
  11572.40  3.4526642E-02
  11572.50  3.4498172E-02
  11572.60  3.4476573E-02
  11572.70  3.4462070E-02
  11572.80  3.4454832E-02
  11572.90  3.4454974E-02
  11573.00  3.4462554E-02
  11573.10  3.4477576E-02
  11573.20  3.4499984E-02
  11573.30  3.4529669E-02
  11573.40  3.4566468E-02
  11573.50  3.4610163E-02
  11573.60  3.4660490E-02
  11573.70  3.4717133E-02
  11573.80  3.4779736E-02
  11573.90  3.4847900E-02
  11574.00  3.4921188E-02
  11574.10  3.4999135E-02
  11574.20  3.5081244E-02
  11574.30  3.5166997E-02
  11574.40  3.5255858E-02
  11574.50  3.5347279E-02
  11574.60  3.5440703E-02
  11574.70  3.5535572E-02
