    Energy    <xanes>    
  11364.00  1.4727692E-02
  11364.01  1.4727868E-02
  11364.01  1.4728200E-02
  11364.03  1.4728840E-02
  11364.04  1.4729070E-02
  11364.06  1.4729791E-02
  11364.07  1.4730415E-02
  11364.09  1.4731086E-02
  11364.09  1.4731360E-02
  11364.10  1.4731638E-02
  11364.10  1.4731925E-02
  11364.10  1.4731976E-02
  11364.11  1.4732132E-02
  11364.11  1.4732239E-02
  11364.12  1.4733120E-02
  11364.13  1.4733290E-02
  11364.13  1.4733691E-02
  11364.14  1.4733927E-02
  11364.14  1.4734052E-02
  11364.14  1.4734115E-02
  11364.15  1.4734376E-02
  11364.17  1.4736114E-02
  11364.18  1.4736324E-02
  11364.18  1.4736610E-02
  11364.19  1.4737415E-02
  11364.20  1.4738472E-02
  11364.21  1.4738626E-02
  11364.21  1.4738705E-02
  11364.21  1.4738785E-02
  11364.21  1.4738947E-02
  11364.21  1.4739112E-02
  11364.21  1.4739196E-02
  11364.22  1.4739785E-02
  11364.22  1.4739957E-02
  11364.22  1.4740219E-02
  11364.23  1.4741026E-02
  11364.25  1.4742851E-02
  11364.26  1.4743399E-02
  11364.26  1.4743490E-02
  11364.26  1.4743673E-02
  11364.29  1.4745864E-02
  11364.29  1.4745955E-02
  11364.30  1.4746686E-02
  11364.30  1.4746959E-02
  11364.30  1.4747416E-02
  11364.32  1.4748695E-02
  11364.32  1.4749152E-02
  11364.33  1.4749517E-02
  11364.33  1.4749791E-02
  11364.34  1.4750248E-02
  11364.34  1.4750614E-02
  11364.34  1.4750705E-02
  11364.34  1.4751071E-02
  11364.36  1.4752442E-02
  11364.39  1.4755093E-02
  11364.40  1.4755733E-02
  11364.41  1.4756830E-02
  11364.41  1.4757013E-02
  11364.91  1.4802832E-02
  11365.41  1.4848896E-02
  11365.91  1.4895206E-02
  11366.41  1.4941764E-02
  11366.91  1.4988572E-02
  11367.41  1.5035633E-02
  11367.91  1.5082948E-02
  11368.41  1.5130518E-02
  11368.91  1.5178347E-02
  11369.41  1.5226436E-02
  11369.91  1.5274787E-02
  11370.41  1.5323403E-02
  11370.91  1.5372285E-02
  11371.41  1.5421435E-02
  11371.91  1.5470857E-02
  11372.41  1.5520551E-02
  11372.91  1.5570520E-02
  11373.41  1.5620767E-02
  11373.91  1.5671293E-02
  11374.41  1.5722101E-02
  11374.91  1.5773193E-02
  11375.41  1.5824572E-02
  11375.91  1.5876239E-02
  11376.41  1.5928198E-02
  11376.91  1.5980451E-02
  11377.41  1.6032999E-02
  11377.91  1.6085846E-02
  11378.41  1.6138994E-02
  11378.91  1.6192445E-02
  11379.41  1.6246203E-02
  11379.91  1.6300269E-02
  11380.41  1.6354646E-02
  11380.91  1.6409337E-02
  11381.41  1.6464345E-02
  11381.91  1.6519671E-02
  11382.41  1.6575320E-02
  11382.91  1.6631293E-02
  11383.41  1.6687593E-02
  11383.91  1.6744224E-02
  11384.41  1.6801188E-02
  11384.91  1.6858487E-02
  11385.41  1.6916125E-02
  11385.91  1.6974105E-02
  11386.41  1.7032430E-02
  11386.91  1.7091103E-02
  11387.41  1.7150126E-02
  11387.91  1.7209503E-02
  11388.41  1.7269236E-02
  11388.91  1.7329330E-02
  11389.41  1.7389787E-02
  11389.91  1.7450611E-02
  11390.41  1.7511804E-02
  11390.91  1.7573371E-02
  11391.41  1.7635313E-02
  11391.91  1.7697636E-02
  11392.41  1.7760341E-02
  11392.91  1.7823434E-02
  11393.41  1.7886916E-02
  11393.91  1.7950792E-02
  11394.41  1.8015065E-02
  11394.91  1.8079739E-02
  11395.41  1.8144817E-02
  11395.91  1.8210304E-02
  11396.41  1.8276203E-02
  11396.91  1.8342517E-02
  11397.41  1.8409251E-02
  11397.91  1.8476409E-02
  11398.41  1.8543994E-02
  11398.91  1.8612011E-02
  11399.41  1.8680463E-02
  11399.91  1.8749355E-02
  11400.41  1.8818691E-02
  11400.91  1.8888474E-02
  11401.41  1.8958710E-02
  11401.91  1.9029403E-02
  11402.41  1.9100556E-02
  11402.91  1.9172175E-02
  11403.41  1.9244264E-02
  11403.91  1.9316827E-02
  11404.41  1.9389868E-02
  11404.91  1.9463394E-02
  11405.41  1.9537408E-02
  11405.91  1.9611914E-02
  11406.41  1.9686919E-02
  11406.91  1.9762427E-02
  11407.41  1.9838442E-02
  11407.91  1.9914970E-02
  11408.41  1.9992016E-02
  11408.91  2.0069585E-02
  11409.41  2.0147682E-02
  11409.91  2.0226313E-02
  11410.41  2.0305482E-02
  11410.91  2.0385196E-02
  11411.41  2.0465460E-02
  11411.91  2.0546280E-02
  11412.41  2.0627660E-02
  11412.91  2.0709607E-02
  11413.41  2.0792127E-02
  11413.91  2.0875226E-02
  11414.41  2.0958909E-02
  11414.91  2.1043182E-02
  11415.41  2.1128053E-02
  11415.91  2.1213526E-02
  11416.41  2.1299609E-02
  11416.91  2.1386307E-02
  11417.41  2.1473628E-02
  11417.91  2.1561577E-02
  11418.41  2.1650162E-02
  11418.91  2.1739389E-02
  11419.41  2.1829265E-02
  11419.91  2.1919797E-02
  11420.41  2.2010992E-02
  11420.91  2.2102858E-02
  11421.41  2.2195401E-02
  11421.91  2.2288628E-02
  11422.41  2.2382549E-02
  11422.91  2.2477169E-02
  11423.41  2.2572497E-02
  11423.91  2.2668541E-02
  11424.41  2.2765307E-02
  11424.91  2.2862806E-02
  11425.41  2.2961044E-02
  11425.91  2.3060030E-02
  11426.41  2.3159772E-02
  11426.91  2.3260279E-02
  11427.41  2.3361560E-02
  11427.91  2.3463623E-02
  11428.41  2.3566477E-02
  11428.91  2.3670131E-02
  11429.41  2.3774596E-02
  11429.91  2.3879878E-02
  11430.41  2.3985990E-02
  11430.91  2.4092939E-02
  11431.41  2.4200736E-02
  11431.91  2.4309391E-02
  11432.41  2.4418913E-02
  11432.91  2.4529314E-02
  11433.41  2.4640603E-02
  11433.91  2.4752791E-02
  11434.41  2.4865889E-02
  11434.91  2.4979907E-02
  11435.41  2.5094857E-02
  11435.91  2.5210751E-02
  11436.41  2.5327599E-02
  11436.91  2.5445412E-02
  11437.41  2.5564204E-02
  11437.91  2.5683986E-02
  11438.41  2.5804770E-02
  11438.91  2.5926569E-02
  11439.41  2.6049394E-02
  11439.91  2.6173260E-02
  11440.41  2.6298179E-02
  11440.91  2.6424164E-02
  11441.41  2.6551229E-02
  11441.91  2.6679388E-02
  11442.41  2.6808654E-02
  11442.91  2.6939042E-02
  11443.41  2.7070565E-02
  11443.91  2.7203240E-02
  11444.41  2.7337080E-02
  11444.91  2.7472101E-02
  11445.41  2.7608318E-02
  11445.91  2.7745748E-02
  11446.41  2.7884405E-02
  11446.91  2.8024306E-02
  11447.41  2.8165469E-02
  11447.91  2.8307909E-02
  11448.41  2.8451644E-02
  11448.91  2.8596691E-02
  11449.41  2.8743068E-02
  11449.91  2.8890793E-02
  11450.41  2.9039885E-02
  11450.91  2.9190363E-02
  11451.41  2.9342245E-02
  11451.91  2.9495550E-02
  11452.41  2.9650300E-02
  11452.91  2.9806513E-02
  11453.41  2.9964211E-02
  11453.91  3.0123414E-02
  11454.41  3.0284144E-02
  11454.91  3.0446422E-02
  11455.41  3.0610272E-02
  11455.91  3.0775714E-02
  11456.41  3.0942773E-02
  11456.91  3.1111471E-02
  11457.41  3.1281833E-02
  11457.91  3.1453883E-02
  11458.41  3.1627646E-02
  11458.91  3.1803148E-02
  11459.41  3.1980413E-02
  11459.91  3.2159469E-02
  11460.41  3.2340342E-02
  11460.91  3.2523060E-02
  11461.41  3.2707650E-02
  11461.91  3.2894142E-02
  11462.41  3.3082565E-02
  11462.91  3.3272947E-02
  11463.41  3.3465320E-02
  11463.91  3.3659715E-02
  11464.41  3.3856163E-02
  11464.91  3.4054696E-02
  11465.41  3.4255347E-02
  11465.91  3.4458150E-02
  11466.41  3.4663139E-02
  11466.91  3.4870350E-02
  11467.41  3.5079818E-02
  11467.91  3.5291580E-02
  11468.41  3.5505674E-02
  11468.91  3.5722136E-02
  11469.41  3.5941007E-02
  11469.91  3.6162327E-02
  11470.41  3.6386136E-02
  11470.91  3.6612476E-02
  11471.41  3.6841390E-02
  11471.91  3.7072921E-02
  11472.41  3.7307113E-02
  11472.91  3.7544014E-02
  11473.41  3.7783668E-02
  11473.91  3.8026124E-02
  11474.41  3.8271431E-02
  11474.91  3.8519639E-02
  11475.41  3.8770799E-02
  11475.91  3.9024963E-02
  11476.41  3.9282184E-02
  11476.91  3.9542519E-02
  11477.41  3.9806022E-02
  11477.91  4.0072752E-02
  11478.41  4.0342768E-02
  11478.91  4.0616129E-02
  11479.41  4.0892898E-02
  11479.91  4.1173138E-02
  11480.41  4.1456914E-02
  11480.91  4.1744293E-02
  11481.41  4.2035343E-02
  11481.91  4.2330135E-02
  11482.41  4.2628739E-02
  11482.91  4.2931229E-02
  11483.41  4.3237682E-02
  11483.91  4.3548175E-02
  11484.41  4.3862787E-02
  11484.91  4.4181600E-02
  11485.41  4.4504697E-02
  11485.91  4.4832165E-02
  11486.41  4.5164093E-02
  11486.91  4.5500571E-02
  11487.41  4.5841691E-02
  11487.91  4.6187551E-02
  11488.41  4.6538248E-02
  11488.91  4.6893884E-02
  11489.41  4.7254563E-02
  11489.91  4.7620391E-02
  11490.41  4.7991479E-02
  11490.91  4.8367940E-02
  11491.41  4.8749890E-02
  11491.91  4.9137448E-02
  11492.41  4.9530739E-02
  11492.91  4.9929889E-02
  11493.41  5.0335029E-02
  11493.91  5.0746293E-02
  11494.41  5.1163820E-02
  11494.91  5.1587752E-02
  11495.41  5.2018238E-02
  11495.91  5.2455427E-02
  11496.41  5.2899478E-02
  11496.91  5.3350551E-02
  11497.41  5.3808813E-02
  11497.91  5.4274434E-02
  11498.41  5.4747593E-02
  11498.91  5.5228472E-02
  11499.41  5.5717260E-02
  11499.91  5.6214152E-02
  11500.41  5.6719349E-02
  11500.91  5.7233059E-02
  11501.41  5.7755497E-02
  11501.91  5.8286887E-02
  11502.41  5.8827456E-02
  11502.91  5.9377445E-02
  11503.41  5.9937097E-02
  11503.91  6.0506669E-02
  11504.41  6.1086424E-02
  11504.91  6.1676635E-02
  11505.41  6.2277585E-02
  11505.91  6.2889567E-02
  11506.41  6.3512886E-02
  11506.91  6.4147855E-02
  11507.41  6.4794802E-02
  11507.91  6.5454066E-02
  11508.41  6.6126000E-02
  11508.91  6.6810967E-02
  11509.41  6.7509349E-02
  11509.91  6.8221540E-02
  11510.41  6.8947949E-02
  11510.91  6.9689003E-02
  11511.41  7.0445144E-02
  11511.91  7.1216836E-02
  11512.41  7.2004557E-02
  11512.91  7.2808808E-02
  11513.41  7.3630110E-02
  11513.91  7.4469006E-02
  11514.41  7.5326062E-02
  11514.91  7.6201869E-02
  11515.41  7.7097044E-02
  11515.91  7.8012230E-02
  11516.41  7.8948099E-02
  11516.91  7.9905354E-02
  11517.41  8.0884729E-02
  11517.91  8.1886993E-02
  11518.41  8.2912950E-02
  11518.91  8.3963442E-02
  11519.41  8.5039350E-02
  11519.91  8.6141600E-02
  11520.41  8.7271161E-02
  11520.91  8.8429051E-02
  11521.41  8.9616337E-02
  11521.91  9.0834143E-02
  11522.41  9.2083647E-02
  11522.91  9.3366092E-02
  11523.41  9.4682782E-02
  11523.91  9.6035093E-02
  11524.41  9.7424475E-02
  11524.91  9.8852455E-02
  11525.41  1.0032065E-01
  11525.91  1.0183076E-01
  11526.41  1.0338458E-01
  11526.91  1.0498402E-01
  11527.41  1.0663109E-01
  11527.91  1.0832793E-01
  11528.41  1.1007680E-01
  11528.91  1.1188010E-01
  11529.41  1.1374038E-01
  11529.91  1.1566034E-01
  11530.41  1.1764286E-01
  11530.91  1.1969102E-01
  11531.41  1.2180808E-01
  11531.91  1.2399752E-01
  11532.41  1.2626307E-01
  11532.91  1.2860871E-01
  11533.41  1.3103869E-01
  11533.91  1.3355757E-01
  11534.41  1.3617026E-01
  11534.91  1.3888199E-01
  11535.41  1.4169841E-01
  11535.91  1.4462561E-01
  11536.41  1.4767012E-01
  11536.91  1.5083901E-01
  11537.41  1.5413993E-01
  11537.91  1.5758114E-01
  11538.41  1.6117159E-01
  11538.91  1.6492102E-01
  11539.41  1.6883998E-01
  11539.91  1.7294000E-01
  11540.41  1.7723363E-01
  11540.91  1.8173461E-01
  11541.41  1.8645795E-01
  11541.91  1.9142014E-01
  11542.41  1.9663930E-01
  11542.91  2.0213540E-01
  11543.41  2.0793046E-01
  11543.91  2.1404886E-01
  11544.41  2.2051764E-01
  11544.91  2.2736685E-01
  11545.41  2.3463000E-01
  11545.91  2.4234453E-01
  11546.41  2.5055241E-01
  11546.91  2.5930085E-01
  11547.41  2.6864305E-01
  11547.91  2.7863922E-01
  11548.41  2.8935774E-01
  11548.91  3.0087650E-01
  11549.41  3.1328461E-01
  11549.91  3.2668443E-01
  11550.41  3.4119398E-01
  11550.91  3.5695005E-01
  11551.41  3.7411182E-01
  11551.91  3.9286556E-01
  11552.41  4.1343035E-01
  11552.91  4.3606531E-01
  11553.41  4.6107874E-01
  11553.91  4.8883980E-01
  11554.41  5.1943348E-01
  11554.51  5.2604117E-01
  11554.61  5.3280214E-01
  11554.71  5.3972140E-01
  11554.81  5.4680419E-01
  11554.91  5.5405595E-01
  11555.01  5.6148234E-01
  11555.11  5.6908929E-01
  11555.21  5.7688297E-01
  11555.31  5.8486980E-01
  11555.41  5.9305650E-01
  11555.51  6.0145008E-01
  11555.61  6.1005785E-01
  11555.71  6.1888746E-01
  11555.81  6.2794689E-01
  11555.91  6.3724448E-01
  11556.01  6.4678897E-01
  11556.11  6.5658946E-01
  11556.21  6.6665551E-01
  11556.31  6.7699711E-01
  11556.41  6.8762471E-01
  11556.51  6.9854927E-01
  11556.61  7.0978225E-01
  11556.71  7.2133568E-01
  11556.81  7.3322215E-01
  11556.91  7.4545489E-01
  11557.01  7.5804774E-01
  11557.11  7.7101524E-01
  11557.21  7.8437267E-01
  11557.31  7.9813603E-01
  11557.41  8.1232216E-01
  11557.51  8.2694874E-01
  11557.61  8.4203433E-01
  11557.71  8.5759847E-01
  11557.81  8.7366167E-01
  11557.91  8.9024552E-01
  11558.01  9.0737273E-01
  11558.11  9.2506718E-01
  11558.21  9.4335401E-01
  11558.31  9.6225968E-01
  11558.41  9.8181204E-01
  11558.51  1.0020404E+00
  11558.61  1.0229757E+00
  11558.71  1.0446503E+00
  11558.81  1.0670985E+00
  11558.91  1.0903564E+00
  11559.01  1.1144619E+00
  11559.11  1.1394549E+00
  11559.21  1.1653774E+00
  11559.31  1.1922738E+00
  11559.41  1.2201906E+00
  11559.51  1.2491766E+00
  11559.61  1.2792833E+00
  11559.71  1.3105647E+00
  11559.81  1.3430775E+00
  11559.91  1.3768810E+00
  11560.01  1.4120375E+00
  11560.11  1.4486120E+00
  11560.21  1.4866725E+00
  11560.31  1.5262897E+00
  11560.41  1.5675374E+00
  11560.51  1.6104919E+00
  11560.61  1.6552324E+00
  11560.71  1.7018404E+00
  11560.81  1.7503996E+00
  11560.91  1.8009956E+00
  11561.01  1.8537155E+00
  11561.11  1.9086470E+00
  11561.21  1.9658782E+00
  11561.31  2.0254962E+00
  11561.41  2.0875866E+00
  11561.51  2.1522315E+00
  11561.61  2.2195088E+00
  11561.71  2.2894897E+00
  11561.81  2.3622373E+00
  11561.91  2.4378034E+00
  11562.01  2.5162267E+00
  11562.11  2.5975292E+00
  11562.21  2.6817128E+00
  11562.31  2.7687559E+00
  11562.41  2.8586095E+00
  11562.51  2.9511928E+00
  11562.61  3.0463891E+00
  11562.71  3.1440417E+00
  11562.81  3.2439500E+00
  11562.91  3.3458656E+00
  11563.01  3.4494901E+00
  11563.11  3.5544727E+00
  11563.21  3.6604097E+00
  11563.31  3.7668455E+00
  11563.41  3.8732756E+00
  11563.51  3.9791509E+00
  11563.61  4.0838848E+00
  11563.71  4.1868626E+00
  11563.81  4.2874522E+00
  11563.91  4.3850172E+00
  11564.01  4.4789312E+00
  11564.11  4.5685856E+00
  11564.21  4.6533928E+00
  11564.31  4.7328009E+00
  11564.41  4.8063231E+00
  11564.51  4.8735628E+00
  11564.61  4.9342274E+00
  11564.71  4.9881242E+00
