    Energy    <xanes>    
  11364.00  1.4708881E-02
  11364.01  1.4709532E-02
  11364.02  1.4709625E-02
  11364.03  1.4710151E-02
  11364.03  1.4710410E-02
  11364.07  1.4712197E-02
  11364.08  1.4713032E-02
  11364.08  1.4713089E-02
  11364.11  1.4714773E-02
  11364.12  1.4715508E-02
  11364.13  1.4715959E-02
  11364.13  1.4716091E-02
  11364.13  1.4716158E-02
  11364.14  1.4716642E-02
  11364.14  1.4716712E-02
  11364.14  1.4716783E-02
  11364.14  1.4716928E-02
  11364.15  1.4717223E-02
  11364.18  1.4720014E-02
  11364.20  1.4721092E-02
  11364.21  1.4721869E-02
  11364.21  1.4722105E-02
  11364.22  1.4722586E-02
  11364.23  1.4723240E-02
  11364.24  1.4723996E-02
  11364.24  1.4724339E-02
  11364.24  1.4724426E-02
  11364.24  1.4724515E-02
  11364.24  1.4724786E-02
  11364.26  1.4725971E-02
  11364.26  1.4726335E-02
  11364.27  1.4726974E-02
  11364.28  1.4727612E-02
  11364.29  1.4728615E-02
  11364.30  1.4729618E-02
  11364.30  1.4730256E-02
  11364.31  1.4730803E-02
  11364.31  1.4730895E-02
  11364.31  1.4731077E-02
  11364.31  1.4731168E-02
  11364.33  1.4732354E-02
  11364.33  1.4732537E-02
  11364.33  1.4732993E-02
  11364.34  1.4733176E-02
  11364.34  1.4733723E-02
  11364.35  1.4734271E-02
  11364.36  1.4735549E-02
  11364.37  1.4736462E-02
  11364.38  1.4736918E-02
  11364.38  1.4737009E-02
  11364.40  1.4738836E-02
  11364.41  1.4739657E-02
  11364.41  1.4739749E-02
  11364.42  1.4741210E-02
  11364.45  1.4743677E-02
  11364.46  1.4744499E-02
  11364.47  1.4745778E-02
  11364.50  1.4748428E-02
  11364.51  1.4748976E-02
  11364.53  1.4750713E-02
  11364.55  1.4752633E-02
  11364.92  1.4786533E-02
  11365.42  1.4832557E-02
  11365.92  1.4878827E-02
  11366.42  1.4925345E-02
  11366.92  1.4972113E-02
  11367.42  1.5019133E-02
  11367.92  1.5066407E-02
  11368.42  1.5113937E-02
  11368.92  1.5161725E-02
  11369.42  1.5209772E-02
  11369.92  1.5258082E-02
  11370.42  1.5306656E-02
  11370.92  1.5355496E-02
  11371.42  1.5404605E-02
  11371.92  1.5453984E-02
  11372.42  1.5503636E-02
  11372.92  1.5553563E-02
  11373.42  1.5603767E-02
  11373.92  1.5654250E-02
  11374.42  1.5705015E-02
  11374.92  1.5756064E-02
  11375.42  1.5807399E-02
  11375.92  1.5859023E-02
  11376.42  1.5910938E-02
  11376.92  1.5963146E-02
  11377.42  1.6015651E-02
  11377.92  1.6068453E-02
  11378.42  1.6121557E-02
  11378.92  1.6174963E-02
  11379.42  1.6228676E-02
  11379.92  1.6282696E-02
  11380.42  1.6337028E-02
  11380.92  1.6391673E-02
  11381.42  1.6446635E-02
  11381.92  1.6501916E-02
  11382.42  1.6557518E-02
