    Energy    <xanes>    
  11364.00  6.9235691E-03
  11364.16  6.9290712E-03
  11364.17  6.9292506E-03
  11364.24  6.9319631E-03
  11364.27  6.9332497E-03
  11364.28  6.9335071E-03
  11364.28  6.9336788E-03
  11364.35  6.9365551E-03
  11364.35  6.9368556E-03
  11364.37  6.9375002E-03
  11364.39  6.9385750E-03
  11364.40  6.9387040E-03
  11364.40  6.9389191E-03
  11364.41  6.9393925E-03
  11364.91  6.9609452E-03
  11365.41  6.9826127E-03
  11365.91  7.0043960E-03
  11366.29  7.0210731E-03
  11366.79  7.0430626E-03
  11367.29  7.0651704E-03
  11367.79  7.0873974E-03
  11368.29  7.1097446E-03
  11368.79  7.1322129E-03
  11369.29  7.1548033E-03
  11369.79  7.1775167E-03
  11370.29  7.2003541E-03
  11370.79  7.2233165E-03
  11371.29  7.2464049E-03
  11371.79  7.2696203E-03
  11372.29  7.2929638E-03
  11372.79  7.3164363E-03
  11373.29  7.3400390E-03
  11373.79  7.3637728E-03
  11374.29  7.3876388E-03
  11374.79  7.4116381E-03
  11375.29  7.4357719E-03
  11375.79  7.4600411E-03
  11376.29  7.4844469E-03
  11376.79  7.5089905E-03
  11377.29  7.5336729E-03
  11377.79  7.5584953E-03
  11378.29  7.5834589E-03
  11378.79  7.6085649E-03
  11379.29  7.6338144E-03
  11379.79  7.6592087E-03
  11380.29  7.6847489E-03
  11380.79  7.7104363E-03
  11381.29  7.7362721E-03
  11381.79  7.7622575E-03
  11382.29  7.7883940E-03
  11382.79  7.8146826E-03
  11383.29  7.8411248E-03
  11383.79  7.8677219E-03
  11384.29  7.8944751E-03
  11384.79  7.9213858E-03
  11385.29  7.9484553E-03
  11385.79  7.9756852E-03
  11386.29  8.0030766E-03
  11386.79  8.0306311E-03
  11387.29  8.0583501E-03
  11387.79  8.0862349E-03
  11388.29  8.1142871E-03
  11388.79  8.1425081E-03
  11389.29  8.1708995E-03
  11389.79  8.1994626E-03
  11390.29  8.2281991E-03
  11390.79  8.2571105E-03
  11391.29  8.2861984E-03
  11391.79  8.3154642E-03
  11392.29  8.3449097E-03
  11392.79  8.3745364E-03
  11393.29  8.4043460E-03
  11393.79  8.4343402E-03
  11394.29  8.4645205E-03
  11394.79  8.4948888E-03
  11395.29  8.5254466E-03
  11395.79  8.5561958E-03
  11396.29  8.5871382E-03
  11396.79  8.6182754E-03
  11397.29  8.6496093E-03
  11397.79  8.6811418E-03
  11398.29  8.7128746E-03
  11398.79  8.7448097E-03
  11399.29  8.7769488E-03
  11399.79  8.8092941E-03
  11400.29  8.8418473E-03
  11400.79  8.8746104E-03
  11401.29  8.9075855E-03
  11401.79  8.9407746E-03
  11402.29  8.9741796E-03
  11402.79  9.0078027E-03
  11403.29  9.0416460E-03
  11403.79  9.0757115E-03
  11404.29  9.1100014E-03
  11404.79  9.1445180E-03
  11405.29  9.1792633E-03
  11405.79  9.2142396E-03
  11406.29  9.2494492E-03
  11406.79  9.2848943E-03
  11407.29  9.3205773E-03
  11407.79  9.3565006E-03
  11408.29  9.3926664E-03
  11408.79  9.4290773E-03
  11409.29  9.4657356E-03
  11409.79  9.5026439E-03
  11410.29  9.5398046E-03
  11410.79  9.5772203E-03
  11411.29  9.6148935E-03
  11411.79  9.6528269E-03
  11412.29  9.6910231E-03
  11412.79  9.7294848E-03
  11413.29  9.7682146E-03
  11413.79  9.8072155E-03
  11414.29  9.8464901E-03
