    Energy    <xanes>    
  11364.00  6.9121356E-03
  11364.02  6.9123881E-03
  11364.05  6.9128677E-03
  11364.13  6.9146626E-03
  11364.14  6.9148256E-03
  11364.15  6.9151687E-03
  11364.16  6.9153481E-03
  11364.21  6.9172109E-03
  11364.27  6.9195203E-03
  11364.27  6.9199054E-03
  11364.32  6.9217886E-03
  11364.33  6.9223024E-03
  11364.83  6.9437534E-03
  11364.96  6.9491360E-03
  11365.46  6.9707298E-03
  11365.66  6.9794808E-03
  11366.16  7.0012364E-03
  11366.66  7.0231085E-03
  11367.16  7.0450979E-03
  11367.66  7.0672055E-03
  11368.16  7.0894323E-03
  11368.66  7.1117792E-03
  11369.16  7.1342472E-03
  11369.66  7.1568372E-03
  11370.16  7.1795502E-03
  11370.66  7.2023871E-03
  11371.16  7.2253490E-03
  11371.66  7.2484368E-03
  11372.16  7.2716516E-03
  11372.66  7.2949944E-03
  11373.16  7.3184662E-03
  11373.66  7.3420680E-03
  11374.16  7.3658010E-03
  11374.66  7.3896661E-03
  11375.16  7.4136644E-03
  11375.66  7.4377971E-03
  11376.16  7.4620652E-03
  11376.66  7.4864699E-03
  11377.16  7.5110122E-03
  11377.66  7.5356934E-03
  11378.16  7.5605144E-03
  11378.66  7.5854766E-03
  11379.16  7.6105811E-03
  11379.66  7.6358290E-03
  11380.16  7.6612216E-03
  11380.66  7.6867601E-03
  11381.16  7.7124457E-03
  11381.66  7.7382797E-03
  11382.16  7.7642633E-03
  11382.66  7.7903977E-03
  11383.16  7.8166843E-03
  11383.66  7.8431243E-03
  11384.16  7.8697191E-03
  11384.66  7.8964700E-03
  11385.16  7.9233783E-03
  11385.66  7.9504454E-03
  11386.16  7.9776727E-03
  11386.66  8.0050615E-03
  11387.16  8.0326132E-03
  11387.66  8.0603294E-03
  11388.16  8.0882113E-03
  11388.66  8.1162605E-03
  11389.16  8.1444785E-03
  11389.66  8.1728666E-03
  11390.16  8.2014265E-03
  11390.66  8.2301597E-03
  11391.16  8.2590676E-03
  11391.66  8.2881519E-03
  11392.16  8.3174141E-03
  11392.66  8.3468558E-03
  11393.16  8.3764787E-03
  11393.66  8.4062843E-03
  11394.16  8.4362744E-03
  11394.66  8.4664506E-03
  11395.16  8.4968145E-03
  11395.66  8.5273680E-03
  11396.16  8.5581127E-03
  11396.66  8.5890504E-03
  11397.16  8.6201829E-03
  11397.66  8.6515120E-03
  11398.16  8.6830395E-03
