    Energy    <xanes>    
  11364.00  6.9037587E-03
  11364.04  6.9040953E-03
  11364.10  6.9050414E-03
  11364.23  6.9080349E-03
  11364.73  6.9294439E-03
  11365.23  6.9509667E-03
  11365.73  6.9726043E-03
  11366.17  6.9918291E-03
  11366.67  7.0136853E-03
  11367.17  7.0356587E-03
  11367.67  7.0577504E-03
  11368.17  7.0799613E-03
  11368.67  7.1022923E-03
  11369.17  7.1247443E-03
  11369.67  7.1473183E-03
  11370.17  7.1700153E-03
  11370.67  7.1928363E-03
  11371.17  7.2157822E-03
  11371.67  7.2388541E-03
  11372.17  7.2620529E-03
  11372.67  7.2853797E-03
  11373.17  7.3088356E-03
  11373.67  7.3324214E-03
  11374.17  7.3561384E-03
  11374.67  7.3799876E-03
  11375.17  7.4039700E-03
  11375.67  7.4280867E-03
  11376.17  7.4523389E-03
  11376.67  7.4767276E-03
  11377.17  7.5012540E-03
  11377.67  7.5259192E-03
  11378.17  7.5507243E-03
  11378.67  7.5756706E-03
  11379.17  7.6007592E-03
  11379.67  7.6259912E-03
  11380.17  7.6513680E-03
  11380.67  7.6768906E-03
  11381.17  7.7025603E-03
  11381.67  7.7283785E-03
  11382.17  7.7543462E-03
  11382.67  7.7804648E-03
  11383.17  7.8067356E-03
  11383.67  7.8331599E-03
  11384.17  7.8597390E-03
  11384.67  7.8864741E-03
  11385.17  7.9133667E-03
  11385.67  7.9404181E-03
  11386.17  7.9676298E-03
  11386.67  7.9950029E-03
  11387.17  8.0225391E-03
  11387.67  8.0502397E-03
  11388.17  8.0781061E-03
  11388.67  8.1061398E-03
  11389.17  8.1343422E-03
  11389.67  8.1627149E-03
  11390.17  8.1912594E-03
  11390.67  8.2199772E-03
  11391.17  8.2488697E-03
  11391.67  8.2779387E-03
  11392.17  8.3071857E-03
  11392.67  8.3366122E-03
  11393.17  8.3662198E-03
  11393.67  8.3960103E-03
  11394.17  8.4259853E-03
  11394.67  8.4561464E-03
  11395.17  8.4864954E-03
  11395.67  8.5170339E-03
  11396.17  8.5477638E-03
  11396.67  8.5786866E-03
  11397.17  8.6098044E-03
  11397.67  8.6411187E-03
  11398.17  8.6726316E-03
  11398.67  8.7043447E-03
  11399.17  8.7362600E-03
  11399.67  8.7683794E-03
  11400.17  8.8007048E-03
  11400.67  8.8332381E-03
  11401.17  8.8659812E-03
  11401.67  8.8989363E-03
  11402.17  8.9321053E-03
  11402.67  8.9654902E-03
  11403.17  8.9990931E-03
  11403.67  9.0329161E-03
  11404.17  9.0669613E-03
  11404.67  9.1012309E-03
  11405.17  9.1357270E-03
  11405.67  9.1704518E-03
  11406.17  9.2054076E-03
  11406.67  9.2405966E-03
  11407.17  9.2760211E-03
  11407.67  9.3116834E-03
  11408.17  9.3475859E-03
  11408.67  9.3837310E-03
  11409.17  9.4201210E-03
  11409.67  9.4567585E-03
  11410.17  9.4936458E-03
  11410.67  9.5307855E-03
  11411.17  9.5681801E-03
  11411.67  9.6058322E-03
  11412.17  9.6437445E-03
  11412.67  9.6819195E-03
  11413.17  9.7203600E-03
  11413.67  9.7590686E-03
  11414.17  9.7980481E-03
  11414.67  9.8373013E-03
  11415.17  9.8768311E-03
  11415.67  9.9166402E-03
  11416.17  9.9567317E-03
  11416.67  9.9971084E-03
  11417.17  1.0037773E-02
  11417.67  1.0078730E-02
  11418.17  1.0119980E-02
  11418.67  1.0161528E-02
  11419.17  1.0203377E-02
  11419.67  1.0245530E-02
  11420.17  1.0287990E-02
  11420.67  1.0330760E-02
  11421.17  1.0373843E-02
  11421.67  1.0417244E-02
