# energy(eV) normalized_intensity
1.152600e+04 1.744757e-02
1.152620e+04 1.582338e-02
1.152640e+04 1.440861e-02
1.152660e+04 1.320343e-02
1.152680e+04 1.220798e-02
1.152700e+04 1.148765e-02
1.152720e+04 1.095173e-02
1.152740e+04 1.046492e-02
1.152760e+04 9.924617e-03
1.152780e+04 9.205395e-03
1.152800e+04 8.220882e-03
1.152820e+04 7.218986e-03
1.152840e+04 6.391066e-03
1.152860e+04 5.736044e-03
1.152880e+04 5.184384e-03
1.152900e+04 4.672444e-03
1.152920e+04 4.124906e-03
1.152940e+04 3.419420e-03
1.152960e+04 2.617009e-03
1.152980e+04 1.821309e-03
1.153000e+04 1.113698e-03
1.153020e+04 5.002830e-04
1.153040e+04 -4.351375e-06
1.153060e+04 -4.144019e-04
1.153080e+04 -7.582746e-04
1.153100e+04 -1.115361e-03
1.153120e+04 -1.509290e-03
1.153140e+04 -2.034095e-03
1.153160e+04 -2.620742e-03
1.153180e+04 -3.229121e-03
1.153200e+04 -3.792012e-03
1.153220e+04 -4.195565e-03
1.153240e+04 -4.346622e-03
1.153260e+04 -4.279900e-03
1.153280e+04 -4.098555e-03
1.153300e+04 -3.919092e-03
1.153320e+04 -3.733262e-03
1.153340e+04 -3.651894e-03
1.153360e+04 -3.575744e-03
1.153380e+04 -3.371692e-03
1.153400e+04 -2.999309e-03
1.153420e+04 -2.528131e-03
1.153440e+04 -1.989875e-03
1.153460e+04 -1.505201e-03
1.153480e+04 -1.208759e-03
1.153500e+04 -1.174327e-03
1.153520e+04 -1.236199e-03
1.153540e+04 -1.308477e-03
1.153560e+04 -1.264063e-03
1.153580e+04 -1.010084e-03
1.153600e+04 -5.121123e-04
1.153620e+04 9.260681e-05
1.153640e+04 6.486681e-04
1.153660e+04 1.148485e-03
1.153680e+04 1.624534e-03
1.153700e+04 2.041595e-03
1.153720e+04 2.445135e-03
1.153740e+04 2.812312e-03
1.153760e+04 3.206312e-03
1.153780e+04 3.667939e-03
1.153800e+04 4.170270e-03
1.153820e+04 4.702617e-03
1.153840e+04 5.247257e-03
1.153860e+04 5.731437e-03
1.153880e+04 6.034694e-03
1.153900e+04 6.117604e-03
1.153920e+04 6.172946e-03
1.153940e+04 6.387583e-03
1.153960e+04 6.729413e-03
1.153980e+04 7.117546e-03
1.154000e+04 7.506722e-03
1.154020e+04 7.841375e-03
1.154040e+04 8.061278e-03
1.154060e+04 8.198234e-03
1.154080e+04 8.329742e-03
1.154100e+04 8.529389e-03
1.154120e+04 8.757461e-03
1.154140e+04 9.018140e-03
1.154160e+04 9.292507e-03
1.154180e+04 9.575340e-03
1.154200e+04 9.843530e-03
1.154220e+04 1.006894e-02
1.154240e+04 1.020468e-02
1.154260e+04 1.029481e-02
1.154280e+04 1.040512e-02
1.154300e+04 1.056414e-02
1.154320e+04 1.073544e-02
1.154340e+04 1.084808e-02
1.154360e+04 1.096428e-02
1.154380e+04 1.112060e-02
1.154400e+04 1.132208e-02
1.154420e+04 1.161706e-02
1.154440e+04 1.206418e-02
1.154460e+04 1.255251e-02
1.154480e+04 1.290883e-02
1.154500e+04 1.304977e-02
1.154520e+04 1.314912e-02
1.154540e+04 1.337714e-02
1.154560e+04 1.369935e-02
1.154580e+04 1.405002e-02
1.154600e+04 1.444086e-02
1.154620e+04 1.483078e-02
1.154640e+04 1.522053e-02
1.154660e+04 1.559551e-02
1.154680e+04 1.601421e-02
1.154700e+04 1.652376e-02
1.154720e+04 1.700304e-02
1.154740e+04 1.733551e-02
1.154760e+04 1.761835e-02
1.154780e+04 1.798836e-02
1.154800e+04 1.853966e-02
1.154820e+04 1.923231e-02
1.154840e+04 2.008393e-02
1.154860e+04 2.098174e-02
1.154880e+04 2.179527e-02
1.154900e+04 2.243514e-02
1.154920e+04 2.300272e-02
1.154940e+04 2.354611e-02
1.154960e+04 2.413395e-02
1.154980e+04 2.480791e-02
1.155000e+04 2.564391e-02
1.155020e+04 2.661500e-02
1.155040e+04 2.776398e-02
1.155060e+04 2.895477e-02
1.155080e+04 3.005882e-02
1.155100e+04 3.101781e-02
1.155120e+04 3.189463e-02
1.155140e+04 3.276289e-02
1.155160e+04 3.364392e-02
1.155180e+04 3.456107e-02
1.155200e+04 3.561318e-02
1.155220e+04 3.676031e-02
1.155240e+04 3.800776e-02
1.155260e+04 3.935880e-02
1.155280e+04 4.085070e-02
1.155300e+04 4.249465e-02
1.155320e+04 4.419240e-02
1.155340e+04 4.580404e-02
1.155360e+04 4.742216e-02
1.155380e+04 4.917664e-02
1.155400e+04 5.113783e-02
1.155420e+04 5.327377e-02
1.155440e+04 5.551725e-02
1.155460e+04 5.787413e-02
1.155480e+04 6.028419e-02
1.155500e+04 6.271979e-02
1.155520e+04 6.534628e-02
1.155540e+04 6.821071e-02
1.155560e+04 7.135898e-02
1.155580e+04 7.475660e-02
1.155600e+04 7.834944e-02
1.155620e+04 8.215090e-02
1.155640e+04 8.603175e-02
1.155660e+04 9.007019e-02
1.155680e+04 9.431345e-02
1.155700e+04 9.878071e-02
1.155720e+04 1.035470e-01
1.155740e+04 1.084980e-01
1.155760e+04 1.137766e-01
1.155780e+04 1.194133e-01
1.155800e+04 1.253938e-01
1.155820e+04 1.318337e-01
1.155840e+04 1.385293e-01
1.155860e+04 1.457049e-01
1.155880e+04 1.533730e-01
1.155900e+04 1.615266e-01
1.155920e+04 1.704577e-01
1.155940e+04 1.800142e-01
1.155960e+04 1.904191e-01
1.155980e+04 2.015618e-01
1.156000e+04 2.133263e-01
1.156020e+04 2.261265e-01
1.156040e+04 2.396146e-01
1.156060e+04 2.543266e-01
1.156080e+04 2.703329e-01
1.156100e+04 2.876241e-01
1.156120e+04 3.066963e-01
1.156140e+04 3.269571e-01
1.156160e+04 3.491584e-01
1.156180e+04 3.732956e-01
1.156200e+04 3.992560e-01
1.156220e+04 4.280762e-01
1.156240e+04 4.591531e-01
1.156260e+04 4.933231e-01
1.156280e+04 5.304885e-01
1.156300e+04 5.701567e-01
1.156320e+04 6.132799e-01
1.156340e+04 6.588915e-01
1.156360e+04 7.074198e-01
1.156380e+04 7.590706e-01
1.156400e+04 8.128344e-01
1.156420e+04 8.686127e-01
1.156440e+04 9.256985e-01
1.156460e+04 9.826894e-01
1.156480e+04 1.039560e+00
1.156500e+04 1.094644e+00
1.156520e+04 1.146383e+00
1.156540e+04 1.195145e+00
1.156560e+04 1.238027e+00
1.156580e+04 1.274505e+00
1.156600e+04 1.304407e+00
1.156620e+04 1.326182e+00
1.156640e+04 1.341662e+00
1.156660e+04 1.350348e+00
1.156680e+04 1.352780e+00
1.156700e+04 1.351440e+00
1.156720e+04 1.345378e+00
1.156740e+04 1.336669e+00
1.156760e+04 1.325796e+00
1.156780e+04 1.312888e+00
1.156800e+04 1.299254e+00
1.156820e+04 1.284274e+00
1.156840e+04 1.268350e+00
1.156860e+04 1.251955e+00
1.156880e+04 1.235252e+00
1.156900e+04 1.218764e+00
1.156920e+04 1.202612e+00
1.156940e+04 1.186722e+00
1.156960e+04 1.171701e+00
1.156980e+04 1.157706e+00
1.157000e+04 1.144714e+00
1.157020e+04 1.132966e+00
1.157040e+04 1.122185e+00
1.157060e+04 1.112250e+00
1.157080e+04 1.102703e+00
1.157100e+04 1.093072e+00
1.157120e+04 1.084094e+00
1.157140e+04 1.075971e+00
1.157160e+04 1.068661e+00
1.157180e+04 1.061976e+00
1.157200e+04 1.055596e+00
1.157220e+04 1.049432e+00
1.157240e+04 1.043100e+00
1.157260e+04 1.036704e+00
1.157280e+04 1.030487e+00
1.157300e+04 1.024567e+00
1.157320e+04 1.018937e+00
1.157340e+04 1.013492e+00
1.157360e+04 1.008308e+00
1.157380e+04 1.003333e+00
1.157400e+04 9.985320e-01
1.157420e+04 9.941312e-01
1.157440e+04 9.900820e-01
1.157460e+04 9.865555e-01
1.157480e+04 9.835832e-01
1.157500e+04 9.810710e-01
1.157520e+04 9.790477e-01
1.157540e+04 9.771651e-01
1.157560e+04 9.756629e-01
1.157580e+04 9.746764e-01
1.157600e+04 9.741740e-01
1.157620e+04 9.743260e-01
1.157640e+04 9.749880e-01
1.157660e+04 9.761656e-01
1.157680e+04 9.776685e-01
1.157700e+04 9.792722e-01
1.157720e+04 9.813270e-01
1.157740e+04 9.838704e-01
1.157760e+04 9.868866e-01
1.157780e+04 9.903335e-01
1.157800e+04 9.939852e-01
1.157820e+04 9.976758e-01
1.157840e+04 1.001111e+00
1.157860e+04 1.004271e+00
1.157880e+04 1.007268e+00
1.157900e+04 1.010156e+00
1.157920e+04 1.012983e+00
1.157940e+04 1.015898e+00
1.157960e+04 1.018786e+00
1.157980e+04 1.021524e+00
1.158000e+04 1.023996e+00
1.158020e+04 1.026144e+00
1.158040e+04 1.028228e+00
1.158060e+04 1.029794e+00
1.158080e+04 1.030571e+00
1.158100e+04 1.030500e+00
1.158120e+04 1.029524e+00
1.158140e+04 1.027845e+00
1.158160e+04 1.025649e+00
1.158180e+04 1.023287e+00
1.158200e+04 1.021155e+00
1.158220e+04 1.018785e+00
1.158240e+04 1.016169e+00
1.158260e+04 1.013076e+00
1.158280e+04 1.009383e+00
1.158300e+04 1.005123e+00
1.158320e+04 1.000415e+00
1.158340e+04 9.953904e-01
1.158360e+04 9.903856e-01
1.158380e+04 9.855694e-01
1.158400e+04 9.812294e-01
1.158420e+04 9.773747e-01
1.158440e+04 9.739213e-01
1.158460e+04 9.709703e-01
1.158480e+04 9.684634e-01
1.158500e+04 9.662586e-01
1.158520e+04 9.645141e-01
1.158540e+04 9.631475e-01
1.158560e+04 9.621059e-01
1.158580e+04 9.613103e-01
1.158600e+04 9.605796e-01
1.158620e+04 9.599615e-01
1.158640e+04 9.592630e-01
1.158660e+04 9.586533e-01
1.158680e+04 9.582932e-01
1.158700e+04 9.582483e-01
1.158720e+04 9.585295e-01
1.158740e+04 9.591299e-01
1.158760e+04 9.598906e-01
1.158780e+04 9.605839e-01
1.158800e+04 9.610407e-01
1.158820e+04 9.614896e-01
1.158840e+04 9.619207e-01
1.158860e+04 9.626105e-01
1.158880e+04 9.637384e-01
1.158900e+04 9.654287e-01
1.158920e+04 9.676140e-01
1.158940e+04 9.701725e-01
1.158960e+04 9.729758e-01
1.158980e+04 9.758362e-01
1.159000e+04 9.785826e-01
1.159020e+04 9.814599e-01
1.159040e+04 9.844305e-01
1.159060e+04 9.877491e-01
1.159080e+04 9.916012e-01
1.159100e+04 9.960360e-01
1.159120e+04 1.000923e+00
1.159140e+04 1.006075e+00
1.159160e+04 1.011325e+00
1.159180e+04 1.016531e+00
1.159200e+04 1.021511e+00
1.159220e+04 1.026455e+00
1.159240e+04 1.031505e+00
1.159260e+04 1.036586e+00
1.159280e+04 1.041642e+00
1.159300e+04 1.046642e+00
1.159320e+04 1.051491e+00
1.159340e+04 1.056379e+00
1.159360e+04 1.060896e+00
1.159380e+04 1.064822e+00
1.159400e+04 1.068100e+00
1.159420e+04 1.070642e+00
1.159440e+04 1.072698e+00
1.159460e+04 1.074224e+00
1.159480e+04 1.075429e+00
1.159500e+04 1.076565e+00
1.159520e+04 1.077120e+00
1.159540e+04 1.077058e+00
1.159560e+04 1.076258e+00
1.159580e+04 1.074865e+00
1.159600e+04 1.073075e+00
1.159620e+04 1.070675e+00
1.159640e+04 1.067741e+00
1.159660e+04 1.064383e+00
1.159680e+04 1.060667e+00
1.159700e+04 1.056856e+00
1.159720e+04 1.053061e+00
1.159740e+04 1.049555e+00
1.159760e+04 1.046286e+00
1.159780e+04 1.043101e+00
1.159800e+04 1.039877e+00
1.159820e+04 1.036570e+00
1.159840e+04 1.033055e+00
1.159860e+04 1.029434e+00
1.159880e+04 1.025861e+00
1.159900e+04 1.022453e+00
1.159920e+04 1.019176e+00
1.159940e+04 1.015906e+00
1.159960e+04 1.012796e+00
1.159980e+04 1.009874e+00
1.160000e+04 1.007169e+00
1.160020e+04 1.004877e+00
1.160040e+04 1.003126e+00
1.160060e+04 1.001740e+00
1.160080e+04 1.000450e+00
1.160100e+04 9.989988e-01
1.160120e+04 9.974979e-01
1.160140e+04 9.958906e-01
1.160160e+04 9.942907e-01
1.160180e+04 9.928460e-01
1.160200e+04 9.916867e-01
1.160220e+04 9.907302e-01
1.160240e+04 9.898926e-01
1.160260e+04 9.891909e-01
1.160280e+04 9.886838e-01
1.160300e+04 9.882905e-01
1.160320e+04 9.879144e-01
1.160340e+04 9.875026e-01
1.160360e+04 9.868679e-01
1.160380e+04 9.858899e-01
1.160400e+04 9.845324e-01
1.160420e+04 9.829233e-01
1.160440e+04 9.811841e-01
1.160460e+04 9.794745e-01
1.160480e+04 9.779409e-01
1.160500e+04 9.766857e-01
1.160520e+04 9.755136e-01
1.160540e+04 9.743086e-01
1.160560e+04 9.729764e-01
1.160580e+04 9.715177e-01
1.160600e+04 9.698523e-01
1.160620e+04 9.679435e-01
1.160640e+04 9.656326e-01
1.160660e+04 9.631784e-01
1.160680e+04 9.607295e-01
1.160700e+04 9.585050e-01
1.160720e+04 9.567260e-01
1.160740e+04 9.555864e-01
1.160760e+04 9.549815e-01
1.160780e+04 9.546318e-01
1.160800e+04 9.542030e-01
1.160820e+04 9.536744e-01
1.160840e+04 9.531528e-01
1.160860e+04 9.526383e-01
1.160880e+04 9.521309e-01
