# energy(eV) normalized_intensity
1.141400e+04 6.373537e-04
1.141450e+04 6.195521e-04
1.141500e+04 6.018984e-04
1.141550e+04 5.843940e-04
1.141600e+04 5.670405e-04
1.141650e+04 5.498399e-04
1.141700e+04 5.327933e-04
1.141750e+04 5.159025e-04
1.141800e+04 4.991691e-04
1.141850e+04 4.825952e-04
1.141900e+04 4.661819e-04
1.141950e+04 4.499311e-04
1.142000e+04 4.338449e-04
1.142050e+04 4.179248e-04
1.142100e+04 4.021723e-04
1.142150e+04 3.865898e-04
1.142200e+04 3.711790e-04
1.142250e+04 3.559413e-04
1.142300e+04 3.408793e-04
1.142350e+04 3.259947e-04
1.142400e+04 3.112891e-04
1.142450e+04 2.967650e-04
1.142500e+04 2.824242e-04
1.142550e+04 2.682688e-04
1.142600e+04 2.543007e-04
1.142650e+04 2.405222e-04
1.142700e+04 2.269354e-04
1.142750e+04 2.135424e-04
1.142800e+04 2.003457e-04
1.142850e+04 1.873474e-04
1.142900e+04 1.745495e-04
1.142950e+04 1.619547e-04
1.143000e+04 1.495654e-04
1.143050e+04 1.373834e-04
1.143100e+04 1.254118e-04
1.143150e+04 1.136526e-04
1.143200e+04 1.021087e-04
1.143250e+04 9.078229e-05
1.143300e+04 7.967626e-05
1.143350e+04 6.879289e-05
1.143400e+04 5.813530e-05
1.143450e+04 4.770550e-05
1.143500e+04 3.750688e-05
1.143550e+04 2.754203e-05
1.143600e+04 1.781378e-05
1.143650e+04 8.324981e-06
1.143700e+04 -9.212338e-07
1.143750e+04 -9.922303e-06
1.143800e+04 -1.867481e-05
1.143850e+04 -2.717591e-05
1.143900e+04 -3.542218e-05
1.143950e+04 -4.341078e-05
1.144000e+04 -5.113828e-05
1.144050e+04 -5.860157e-05
1.144100e+04 -6.579694e-05
1.144150e+04 -7.272125e-05
1.144200e+04 -7.937109e-05
1.144250e+04 -8.574304e-05
1.144300e+04 -9.183312e-05
1.144350e+04 -9.763791e-05
1.144400e+04 -1.031537e-04
1.144450e+04 -1.083768e-04
1.144500e+04 -1.133033e-04
1.144550e+04 -1.179290e-04
1.144600e+04 -1.222507e-04
1.144650e+04 -1.262635e-04
1.144700e+04 -1.299639e-04
1.144750e+04 -1.333474e-04
1.144800e+04 -1.364101e-04
1.144850e+04 -1.391470e-04
1.144900e+04 -1.415546e-04
1.144950e+04 -1.436275e-04
1.145000e+04 -1.453614e-04
1.145050e+04 -1.467522e-04
1.145100e+04 -1.477945e-04
1.145150e+04 -1.484838e-04
1.145200e+04 -1.488149e-04
1.145250e+04 -1.487829e-04
1.145300e+04 -1.483831e-04
1.145350e+04 -1.476095e-04
1.145400e+04 -1.464575e-04
1.145450e+04 -1.449217e-04
1.145500e+04 -1.429958e-04
1.145550e+04 -1.406750e-04
1.145600e+04 -1.379534e-04
1.145650e+04 -1.348251e-04
1.145700e+04 -1.312841e-04
1.145750e+04 -1.273245e-04
1.145800e+04 -1.229398e-04
1.145850e+04 -1.181240e-04
1.145900e+04 -1.128704e-04
1.145950e+04 -1.071729e-04
1.146000e+04 -1.010247e-04
1.146050e+04 -9.441867e-05
1.146100e+04 -8.734799e-05
1.146150e+04 -7.980553e-05
1.146200e+04 -7.178418e-05
1.146250e+04 -6.327654e-05
1.146300e+04 -5.427521e-05
1.146350e+04 -4.477221e-05
1.146400e+04 -3.475985e-05
1.146450e+04 -2.422989e-05
1.146500e+04 -1.317434e-05
1.146550e+04 -1.584956e-06
1.146600e+04 1.054709e-05
1.146650e+04 2.323035e-05
1.146700e+04 3.647392e-05
1.146750e+04 5.028664e-05
1.146800e+04 6.467789e-05
1.146850e+04 7.965736e-05
1.146900e+04 9.523444e-05
1.146950e+04 1.114194e-04
1.147000e+04 1.282222e-04
1.147050e+04 1.456530e-04
1.147100e+04 1.637227e-04
1.147150e+04 1.824422e-04
1.147200e+04 2.018225e-04
1.147250e+04 2.218750e-04
1.147300e+04 2.426113e-04
1.147350e+04 2.640429e-04
1.147400e+04 2.861826e-04
1.147450e+04 3.090424e-04
1.147500e+04 3.326350e-04
1.147550e+04 3.569738e-04
1.147600e+04 3.820717e-04
1.147650e+04 4.079425e-04
1.147700e+04 4.346003e-04
1.147750e+04 4.620593e-04
1.147800e+04 4.903345e-04
1.147850e+04 5.194403e-04
1.147900e+04 5.493928e-04
1.147950e+04 5.802073e-04
1.148000e+04 6.119000e-04
1.148050e+04 6.444877e-04
1.148100e+04 6.779874e-04
1.148150e+04 7.124164e-04
1.148200e+04 7.477926e-04
1.148250e+04 7.841343e-04
1.148300e+04 8.214605e-04
1.148350e+04 8.597903e-04
1.148400e+04 8.991437e-04
1.148450e+04 9.395408e-04
1.148500e+04 9.810027e-04
1.148550e+04 1.023551e-03
1.148600e+04 1.067207e-03
1.148650e+04 1.111994e-03
1.148700e+04 1.157935e-03
1.148750e+04 1.205053e-03
1.148800e+04 1.253375e-03
1.148850e+04 1.302923e-03
1.148900e+04 1.353726e-03
1.148950e+04 1.405808e-03
1.149000e+04 1.459198e-03
1.149050e+04 1.513923e-03
1.149100e+04 1.570013e-03
1.149150e+04 1.627499e-03
1.149200e+04 1.686409e-03
1.149250e+04 1.746776e-03
1.149300e+04 1.808632e-03
1.149350e+04 1.872012e-03
1.149400e+04 1.936949e-03
1.149450e+04 2.003479e-03
1.149500e+04 2.071640e-03
1.149550e+04 2.141468e-03
1.149600e+04 2.213002e-03
1.149650e+04 2.286283e-03
1.149700e+04 2.361353e-03
1.149750e+04 2.438254e-03
1.149800e+04 2.517030e-03
1.149850e+04 2.597726e-03
1.149900e+04 2.680391e-03
1.149950e+04 2.765072e-03
1.150000e+04 2.851821e-03
1.150050e+04 2.940687e-03
1.150100e+04 3.031727e-03
1.150150e+04 3.124993e-03
1.150200e+04 3.220545e-03
1.150250e+04 3.318442e-03
1.150300e+04 3.418744e-03
1.150350e+04 3.521516e-03
1.150400e+04 3.626822e-03
1.150450e+04 3.734733e-03
1.150500e+04 3.845317e-03
1.150550e+04 3.958648e-03
1.150600e+04 4.074802e-03
1.150650e+04 4.193857e-03
1.150700e+04 4.315896e-03
1.150750e+04 4.441002e-03
1.150800e+04 4.569264e-03
1.150850e+04 4.700772e-03
1.150900e+04 4.835623e-03
1.150950e+04 4.973912e-03
1.151000e+04 5.115745e-03
1.151050e+04 5.261226e-03
1.151100e+04 5.410466e-03
1.151150e+04 5.563581e-03
1.151200e+04 5.720690e-03
1.151250e+04 5.881918e-03
1.151300e+04 6.047396e-03
1.151350e+04 6.217258e-03
1.151400e+04 6.391647e-03
1.151450e+04 6.570710e-03
1.151500e+04 6.754600e-03
1.151550e+04 6.943479e-03
1.151600e+04 7.137514e-03
1.151650e+04 7.336880e-03
1.151700e+04 7.541761e-03
1.151750e+04 7.752350e-03
1.151800e+04 7.968846e-03
1.151850e+04 8.191459e-03
1.151900e+04 8.420411e-03
1.151950e+04 8.655932e-03
1.152000e+04 8.898263e-03
1.152050e+04 9.147660e-03
1.152100e+04 9.404389e-03
1.152150e+04 9.668729e-03
1.152200e+04 9.940976e-03
1.152250e+04 1.022144e-02
1.152300e+04 1.051045e-02
1.152350e+04 1.080834e-02
1.152400e+04 1.111548e-02
1.152450e+04 1.143225e-02
1.152500e+04 1.175905e-02
1.152550e+04 1.209630e-02
1.152600e+04 1.244447e-02
1.152650e+04 1.280401e-02
1.152700e+04 1.317544e-02
1.152750e+04 1.355929e-02
1.152800e+04 1.395611e-02
1.152850e+04 1.436652e-02
1.152900e+04 1.479114e-02
1.152950e+04 1.523066e-02
1.153000e+04 1.568578e-02
1.153050e+04 1.615727e-02
1.153100e+04 1.664596e-02
1.153150e+04 1.715271e-02
1.153200e+04 1.767844e-02
1.153250e+04 1.822415e-02
1.153300e+04 1.879091e-02
1.153350e+04 1.937984e-02
1.153400e+04 1.999216e-02
1.153450e+04 2.062919e-02
