# Energy  <xanes>
1.151500000000000000e+04 6.541828367024702118e+01
1.151550400000000081e+04 5.111008071282497411e+01
1.151599799999999959e+04 6.525780741433888466e+01
1.151650000000000000e+04 6.496600596936877992e+01
1.151700400000000081e+04 6.824836263033651562e+01
1.151749899999999980e+04 6.500452475392816609e+01
1.151800000000000000e+04 6.500071534859876010e+01
1.151850300000000061e+04 6.642190383725798597e+01
1.151900100000000020e+04 6.820467147751227799e+01
1.151949899999999980e+04 6.099335118251971721e+01
1.151999899999999980e+04 5.960223341460391566e+01
1.152049699999999939e+04 6.416592834787013544e+01
1.152100000000000000e+04 6.110837989789644098e+01
1.152150000000000000e+04 7.061895127840043074e+01
1.152200000000000000e+04 6.364754698667776012e+01
1.152250200000000041e+04 7.046132149485704588e+01
1.152300300000000061e+04 6.363986805605703978e+01
1.152350200000000041e+04 7.709225199816729912e+01
1.152399799999999959e+04 6.236425090031847418e+01
1.152450000000000000e+04 7.673750314671403316e+01
1.152500200000000041e+04 7.120098318690840244e+01
1.152549899999999980e+04 6.342278213108198770e+01
1.152600100000000020e+04 6.376101430523959834e+01
1.152650300000000061e+04 7.101730261264646060e+01
1.152700100000000020e+04 7.624681114955352257e+01
1.152750400000000081e+04 6.255110761761583404e+01
1.152800100000000020e+04 7.136358263718278749e+01
1.152850500000000102e+04 7.355921674112860842e+01
1.152900300000000061e+04 7.613753171658127883e+01
1.152949899999999980e+04 7.892656907532516186e+01
1.152999400000000060e+04 6.813306592777809101e+01
1.153050500000000102e+04 8.138452201004247399e+01
1.153100200000000041e+04 7.459672675293707300e+01
1.153150000000000000e+04 7.635190934366869442e+01
1.153200000000000000e+04 7.177628835195754675e+01
1.153250000000000000e+04 7.385529766947763619e+01
1.153299899999999980e+04 8.089916615511170050e+01
1.153350200000000041e+04 7.864016911909870089e+01
1.153399899999999980e+04 7.592751258430854477e+01
1.153450000000000000e+04 7.521731958645962379e+01
1.153500300000000061e+04 7.996186967855588534e+01
1.153549799999999959e+04 8.592979543366639916e+01
1.153600000000000000e+04 8.762139082169971971e+01
1.153650300000000061e+04 8.455773208134617391e+01
1.153700500000000102e+04 8.900050443337451611e+01
1.153750200000000041e+04 9.215217179608603715e+01
1.153799799999999959e+04 8.344867804845270598e+01
1.153849899999999980e+04 9.390702519998372111e+01
1.153899899999999980e+04 9.788814254923275371e+01
1.153950000000000000e+04 1.002261730908719528e+02
1.154000300000000061e+04 9.691337252190324136e+01
1.154049899999999980e+04 8.623758074784092287e+01
1.154099799999999959e+04 9.089247102197269612e+01
1.154150100000000020e+04 1.023368653279809308e+02
1.154199799999999959e+04 1.035827402606894481e+02
1.154249699999999939e+04 1.039392240379792867e+02
1.154299699999999939e+04 1.128431592520860249e+02
1.154349899999999980e+04 1.134043581041994173e+02
1.154400599999999940e+04 1.035396464311581326e+02
1.154450300000000061e+04 1.128453372867469540e+02
1.154500100000000020e+04 1.210111139151546240e+02
1.154550000000000000e+04 1.297758144433619520e+02
1.154600000000000000e+04 1.217416873998925411e+02
1.154649899999999980e+04 1.352407530209881088e+02
1.154700100000000020e+04 1.369056062433052148e+02
1.154749799999999959e+04 1.291425394391539783e+02
1.154799799999999959e+04 1.373753265609392429e+02
1.154849899999999980e+04 1.468775121478445840e+02
1.154899600000000100e+04 1.500133733613406264e+02
1.154949799999999959e+04 1.477090876590120843e+02
1.155000599999999940e+04 1.490684467175811676e+02
1.155049899999999980e+04 1.754974686309419951e+02
1.155100000000000000e+04 1.710303338693182411e+02
1.155150200000000041e+04 1.753967766155350034e+02
1.155199799999999959e+04 1.770525764078935538e+02
1.155250100000000020e+04 1.797593798771353590e+02
1.155300000000000000e+04 1.829860367060251463e+02
1.155349500000000080e+04 2.146444250404137222e+02
1.155399600000000100e+04 2.050023124320392753e+02
1.155450100000000020e+04 2.311238725843959116e+02
1.155500200000000041e+04 2.402701886801529554e+02
1.155550100000000020e+04 2.555332444841814379e+02
1.155600200000000041e+04 2.671963109626201458e+02
1.155650200000000041e+04 2.891671629944806341e+02
1.155700100000000020e+04 3.051718851999888784e+02
1.155750300000000061e+04 3.273911808572809150e+02
1.155800000000000000e+04 3.615627509437103413e+02
1.155850400000000081e+04 3.871434469324282190e+02
1.155900799999999981e+04 4.265618446355575202e+02
1.155950300000000061e+04 4.693781220125155755e+02
1.156000300000000061e+04 5.061476164166447234e+02
1.156050100000000020e+04 5.599993538676961862e+02
1.156099899999999980e+04 6.308948777346059842e+02
1.156149899999999980e+04 6.757457301767240097e+02
1.156200000000000000e+04 7.490326974861129656e+02
1.156250100000000020e+04 8.082799841011658373e+02
1.156300000000000000e+04 8.549402729261578315e+02
1.156349799999999959e+04 9.055253957630147852e+02
1.156400200000000041e+04 9.349215054199800079e+02
1.156449899999999980e+04 9.567213045171273507e+02
1.156500400000000081e+04 9.427369208278162205e+02
1.156550300000000061e+04 9.705099315227446368e+02
1.156599899999999980e+04 9.566711358383478228e+02
1.156650000000000000e+04 9.536005223403883519e+02
1.156700000000000000e+04 9.413679800832525189e+02
1.156750200000000041e+04 9.230123554972254851e+02
1.156799699999999939e+04 9.300503926467501969e+02
1.156850500000000102e+04 9.330723582659377371e+02
1.156900000000000000e+04 8.974551754959021537e+02
1.156949600000000100e+04 9.143481713397430894e+02
1.157000100000000020e+04 8.868374720019060078e+02
1.157049500000000080e+04 8.797732500673530467e+02
1.157099699999999939e+04 8.905098136509554934e+02
1.157149799999999959e+04 8.716716224853571475e+02
1.157200400000000081e+04 8.856079116151588551e+02
1.157249799999999959e+04 8.930113078691715600e+02
1.157299899999999980e+04 8.704953441671184464e+02
1.157349899999999980e+04 8.782776112586340105e+02
1.157399899999999980e+04 8.959525819286758406e+02
1.157450100000000020e+04 8.980863997474443750e+02
1.157500200000000041e+04 8.714765281186118955e+02
1.157549600000000100e+04 9.071518206626142273e+02
1.157599899999999980e+04 8.693037704040820017e+02
1.157650100000000020e+04 9.020875574207323098e+02
1.157699500000000080e+04 8.809506770636899091e+02
1.157750300000000061e+04 9.048386011805524731e+02
1.157800300000000061e+04 8.831177940215261515e+02
1.157850000000000000e+04 9.039339109009375761e+02
1.157900200000000041e+04 8.954699028587589282e+02
1.157950000000000000e+04 8.793762000546820445e+02
1.157999899999999980e+04 8.682204332083579175e+02
1.158050000000000000e+04 8.905012210778262443e+02
1.158100100000000020e+04 8.558240229140426436e+02
1.158150200000000041e+04 8.551830868934029013e+02
1.158200200000000041e+04 8.538916066921758556e+02
1.158250200000000041e+04 8.552124413228435742e+02
1.158299899999999980e+04 8.582335157091347355e+02
1.158349899999999980e+04 8.620300644252707798e+02
1.158399899999999980e+04 8.689636921014837299e+02
1.158449699999999939e+04 8.427682911825295378e+02
1.158500100000000020e+04 8.485590035236477888e+02
1.158550200000000041e+04 8.598044988970949589e+02
1.158600100000000020e+04 8.391586290785592155e+02
1.158650000000000000e+04 8.683909337822085490e+02
1.158700300000000061e+04 8.798052452176247016e+02
1.158750400000000081e+04 8.435288465562665579e+02
1.158800200000000041e+04 8.571404954446853708e+02
1.158850000000000000e+04 8.552763713623008925e+02
1.158900300000000061e+04 8.554650832843320813e+02
1.158949899999999980e+04 8.804817955934206566e+02
1.159000100000000020e+04 8.618673974357992620e+02
1.159049400000000060e+04 8.782820413380369473e+02
1.159099899999999980e+04 8.676165001899024674e+02
1.159150100000000020e+04 8.831954747523091100e+02
1.159199799999999959e+04 8.778452366735414216e+02
1.159250300000000061e+04 8.935052735726283117e+02
1.159299799999999959e+04 8.911771519165502013e+02
1.159349699999999939e+04 8.909284051742083648e+02
1.159399899999999980e+04 8.823450151120674718e+02
1.159450100000000020e+04 8.832986245553981917e+02
1.159500200000000041e+04 8.928041378061460591e+02
1.159549799999999959e+04 8.795989324773859153e+02
1.159600200000000041e+04 8.800309621565548923e+02
1.159650100000000020e+04 8.885471222434799756e+02
1.159700100000000020e+04 9.121844013608307478e+02
1.159750200000000041e+04 8.951484834311845589e+02
1.159800000000000000e+04 8.810977146882471516e+02
1.159850000000000000e+04 8.882011131444480725e+02
1.159900100000000020e+04 8.803489034248428879e+02
1.159950100000000020e+04 8.886097918016815811e+02
1.160000200000000041e+04 8.699773598474819210e+02
1.160049799999999959e+04 8.817812836688923426e+02
1.160100000000000000e+04 8.901326921154725369e+02
1.160150000000000000e+04 8.657873925706514910e+02
1.160200000000000000e+04 8.816021699701294665e+02
1.160250100000000020e+04 8.737650246480471878e+02
1.160299799999999959e+04 8.693203892011297285e+02
1.160349400000000060e+04 8.897766594466843344e+02
1.160399799999999959e+04 8.667461305322240150e+02
1.160449799999999959e+04 8.640430635940667798e+02
1.160500300000000061e+04 8.720670946073088317e+02
1.160550300000000061e+04 8.917717371084228262e+02
1.160600200000000041e+04 8.686582372728653354e+02
1.160649699999999939e+04 8.454810405935789959e+02
1.160700200000000041e+04 8.581161599475237836e+02
1.160749500000000080e+04 8.529216566863711932e+02
1.160800300000000061e+04 8.753686693906614664e+02
