# Energy  <xanes>
1.151500100000000020e+04 4.321804736663569790e-01
1.151550400000000081e+04 4.320290861409210592e-01
1.151599799999999959e+04 4.302432412164944875e-01
1.151650300000000061e+04 4.299630780248044903e-01
1.151699899999999980e+04 4.294126164805271983e-01
1.151750400000000081e+04 4.307458315904161839e-01
1.151800000000000000e+04 4.340207136798365228e-01
1.151849799999999959e+04 4.342353851799889419e-01
1.151900100000000020e+04 4.377352577686187129e-01
1.151950100000000020e+04 4.397984924507012949e-01
1.152000000000000000e+04 4.424718434564095526e-01
1.152050000000000000e+04 4.435815965212930867e-01
1.152099699999999939e+04 4.475197846895327958e-01
1.152149799999999959e+04 4.478307820761436853e-01
1.152199799999999959e+04 4.523491035295841289e-01
1.152250000000000000e+04 4.537408556243964775e-01
1.152299799999999959e+04 4.567910845435645406e-01
1.152349799999999959e+04 4.591235752288354566e-01
1.152400200000000041e+04 4.627040040465172921e-01
1.152450000000000000e+04 4.657373205855455112e-01
1.152500000000000000e+04 4.646214697435239738e-01
1.152550599999999940e+04 4.664869480010046532e-01
1.152599899999999980e+04 4.669782750257764348e-01
1.152650300000000061e+04 4.697912609300565756e-01
1.152700000000000000e+04 4.699939454622161783e-01
1.152750200000000041e+04 4.709893192946595364e-01
1.152799699999999939e+04 4.704300682024699087e-01
1.152849899999999980e+04 4.746248304186560518e-01
1.152900200000000041e+04 4.727018139185520940e-01
1.152950000000000000e+04 4.751544690374036595e-01
1.152999899999999980e+04 4.749579229969441707e-01
1.153050000000000000e+04 4.772399752125103811e-01
1.153100100000000020e+04 4.761767972877910537e-01
1.153150100000000020e+04 4.787709675200343962e-01
1.153200000000000000e+04 4.794532689172420481e-01
1.153249600000000100e+04 4.816547802873376027e-01
1.153300000000000000e+04 4.821441691195801904e-01
1.153350100000000020e+04 4.852940906869909754e-01
1.153399899999999980e+04 4.857419399650253489e-01
1.153449799999999959e+04 4.877793275127946804e-01
1.153500300000000061e+04 4.869774232191378949e-01
1.153550100000000020e+04 4.868471570143290128e-01
1.153600500000000102e+04 4.873743162889000446e-01
1.153649400000000060e+04 4.899217799354924630e-01
1.153699899999999980e+04 4.893267299134786974e-01
1.153750000000000000e+04 4.927500683102545853e-01
1.153799899999999980e+04 4.942850794245182144e-01
1.153849500000000080e+04 4.957734734468096649e-01
1.153899699999999939e+04 4.988067178680116731e-01
1.153949699999999939e+04 5.014461949604833713e-01
1.153999799999999959e+04 5.033356993637784216e-01
1.154050300000000061e+04 5.065964305670427326e-01
1.154100500000000102e+04 5.064202179178309837e-01
1.154149899999999980e+04 5.102202664870140181e-01
1.154199799999999959e+04 5.120875215628856170e-01
1.154249899999999980e+04 5.149448291657314769e-01
1.154300100000000020e+04 5.181525933447342913e-01
1.154350100000000020e+04 5.200551835902244013e-01
1.154400100000000020e+04 5.239976991553429997e-01
1.154450100000000020e+04 5.279846527655550625e-01
1.154500100000000020e+04 5.327681529824972451e-01
1.154550300000000061e+04 5.355624440093262884e-01
1.154599699999999939e+04 5.385505620521603420e-01
1.154650100000000020e+04 5.422827071245047703e-01
1.154699899999999980e+04 5.478931584796973286e-01
1.154750000000000000e+04 5.522676209785775114e-01
1.154799899999999980e+04 5.550726547904667463e-01
1.154850200000000041e+04 5.604967049225376696e-01
1.154900100000000020e+04 5.682200080814552301e-01
1.154949600000000100e+04 5.753668206988479250e-01
1.155000200000000041e+04 5.826377213182171166e-01
1.155049899999999980e+04 5.912045348463239591e-01
1.155100200000000041e+04 6.009838737203446746e-01
1.155150100000000020e+04 6.100025182936812396e-01
1.155200200000000041e+04 6.196372148005198088e-01
1.155250200000000041e+04 6.326299617707036305e-01
1.155300200000000041e+04 6.457375661939068756e-01
1.155350100000000020e+04 6.608261003582768245e-01
1.155400100000000020e+04 6.774727817038350697e-01
1.155449699999999939e+04 6.957063148596019930e-01
1.155500000000000000e+04 7.169371367153297703e-01
1.155550300000000061e+04 7.411534048186864121e-01
1.155600400000000081e+04 7.677738000620141223e-01
1.155650100000000020e+04 8.006261548419369989e-01
1.155700000000000000e+04 8.380664243365516519e-01
1.155749600000000100e+04 8.827592755101963951e-01
1.155800000000000000e+04 9.334165503704099365e-01
1.155849799999999959e+04 9.978994287679140429e-01
1.155900000000000000e+04 1.071857201094271073e+00
1.155949899999999980e+04 1.165130362064285219e+00
1.156000300000000061e+04 1.274538225977235539e+00
1.156050699999999961e+04 1.415134070401474320e+00
1.156100000000000000e+04 1.583267194051624749e+00
1.156149500000000080e+04 1.788838972745730560e+00
1.156200500000000102e+04 2.022529738748430006e+00
1.156249899999999980e+04 2.285389792871587389e+00
1.156299500000000080e+04 2.542901195669887926e+00
1.156349799999999959e+04 2.768050824383745390e+00
1.156399699999999939e+04 2.931328453374079324e+00
1.156449899999999980e+04 3.003166276387362998e+00
1.156500599999999940e+04 3.022333473818917593e+00
1.156550400000000081e+04 2.982880757620061107e+00
1.156599899999999980e+04 2.928574806809530529e+00
1.156649799999999959e+04 2.852973171017338050e+00
1.156700000000000000e+04 2.776427914646734774e+00
1.156749699999999939e+04 2.712845124761515070e+00
1.156800100000000020e+04 2.646445637706312137e+00
1.156850300000000061e+04 2.598550323659703398e+00
1.156899799999999959e+04 2.551673814501320692e+00
1.156949699999999939e+04 2.522171207382667202e+00
1.156999799999999959e+04 2.484237762123121307e+00
1.157050000000000000e+04 2.460718333639787314e+00
1.157099699999999939e+04 2.430745075770452512e+00
1.157150300000000061e+04 2.409407143156296893e+00
1.157199899999999980e+04 2.387706874797529188e+00
1.157250100000000020e+04 2.373841015981627223e+00
1.157299899999999980e+04 2.356023745290460880e+00
1.157350300000000061e+04 2.352498990304910276e+00
1.157400000000000000e+04 2.347197096120200221e+00
1.157450100000000020e+04 2.354363895631082393e+00
1.157499899999999980e+04 2.357310935811443020e+00
1.157550400000000081e+04 2.369698595194980051e+00
1.157599600000000100e+04 2.379761588197967903e+00
1.157649899999999980e+04 2.400574386589304776e+00
1.157700000000000000e+04 2.411649439465263001e+00
1.157749799999999959e+04 2.431009073412631505e+00
1.157800100000000020e+04 2.440324789513057091e+00
1.157849899999999980e+04 2.452634175011827011e+00
1.157900000000000000e+04 2.451396129533740975e+00
1.157950300000000061e+04 2.453624430644443244e+00
1.158000300000000061e+04 2.442160443306002016e+00
1.158049500000000080e+04 2.430222215158077681e+00
1.158100400000000081e+04 2.410784925378816723e+00
1.158150100000000020e+04 2.390911728532285618e+00
1.158199200000000019e+04 2.375478549365639847e+00
1.158249899999999980e+04 2.356806124341387143e+00
1.158299699999999939e+04 2.348086606403958498e+00
1.158350000000000000e+04 2.339765763167630741e+00
1.158399899999999980e+04 2.336473759136381112e+00
1.158450799999999981e+04 2.334269052931441824e+00
1.158500200000000041e+04 2.336439066568809508e+00
1.158550100000000020e+04 2.338114308344738212e+00
1.158599899999999980e+04 2.337376335822733520e+00
1.158650100000000020e+04 2.342678231019903023e+00
1.158700000000000000e+04 2.344514719348813614e+00
1.158749799999999959e+04 2.355100504355664537e+00
1.158800200000000041e+04 2.363292918021433486e+00
1.158849799999999959e+04 2.380438774985154105e+00
1.158899799999999959e+04 2.398801458234971484e+00
1.158950200000000041e+04 2.418113080389986180e+00
1.158999799999999959e+04 2.442236789697178612e+00
1.159049799999999959e+04 2.462431001475796410e+00
1.159100599999999940e+04 2.488394624562621171e+00
1.159149899999999980e+04 2.506051051757717030e+00
1.159200400000000081e+04 2.526599119486872436e+00
1.159250100000000020e+04 2.535841869183080188e+00
1.159299799999999959e+04 2.544683188620496139e+00
1.159349899999999980e+04 2.540930110478558657e+00
1.159400000000000000e+04 2.538106194607898214e+00
1.159450300000000061e+04 2.527107467969291310e+00
1.159499600000000100e+04 2.512846705466594610e+00
1.159549799999999959e+04 2.500931789866335908e+00
1.159599899999999980e+04 2.489790946853669418e+00
1.159650400000000081e+04 2.472904975550451745e+00
1.159699899999999980e+04 2.462530398296853829e+00
1.159750200000000041e+04 2.448809269334927485e+00
1.159800000000000000e+04 2.438884879593492538e+00
1.159850200000000041e+04 2.431033697974027241e+00
1.159900300000000061e+04 2.419783387394010887e+00
1.159949799999999959e+04 2.418482469300124116e+00
1.160000000000000000e+04 2.409625439016930493e+00
1.160050000000000000e+04 2.411666289013941089e+00
1.160099799999999959e+04 2.407139022688544738e+00
1.160149799999999959e+04 2.403593068414840328e+00
1.160199799999999959e+04 2.399978024036577562e+00
1.160249799999999959e+04 2.395637544863872481e+00
1.160300100000000020e+04 2.393188950956924632e+00
1.160350300000000061e+04 2.383627588248578455e+00
1.160400500000000102e+04 2.380227242883184768e+00
1.160450599999999940e+04 2.371304332020799155e+00
1.160499600000000100e+04 2.368391295191798918e+00
1.160550000000000000e+04 2.360333669410124013e+00
1.160600200000000041e+04 2.360184073978160324e+00
1.160649300000000039e+04 2.355509575043173154e+00
1.160699500000000080e+04 2.356107594481561041e+00
1.160750000000000000e+04 2.357362354620829770e+00
1.160800300000000061e+04 2.362172924091064719e+00
